Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div.,SBV,GP,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,PPG,GPG,APG,SvPG,ShPG
Challenger,,Commander-Price1,FA,Free Agent,N/A,N/A,26.13,8,0.125,1,7,0,2346,1240,1106,4,2,13,9,0.444,293.25,0.50,0.25,1.63,1.13
Challenger,,Dub,FA,Free Agent,N/A,N/A,37.19,6,0.167,1,5,1,1688,1040,648,3,5,8,9,0.333,281.17,0.50,0.67,1.17,1.50
Challenger,,Grumpy_Mittens,FA,Free Agent,N/A,N/A,8.01,4,0.25,1,3,0,858,380,478,1,0,4,8,0.125,214.50,0.25,0.00,1.00,2.00
Challenger,,PLANET_ASYLUM,FA,Free Agent,N/A,N/A,43.63,20,0.3,6,14,4,6032,3140,2892,13,11,19,34,0.382,301.60,0.65,0.55,0.95,1.70
Challenger,,Speddybob,FA,Free Agent,N/A,N/A,35.18,5,0.4,2,3,0,1356,800,556,2,3,8,5,0.400,271.20,0.40,0.60,1.60,1.00
Challenger,,WaffleMan,FA,Free Agent,N/A,N/A,66.68,46,0.435,20,26,5,15762,9330,6432,42,28,52,113,0.375,342.65,0.91,0.59,1.13,2.44
Challenger,,mrcreamsicle101,FA,Free Agent,N/A,N/A,26.36,12,0.167,2,10,0,2875,1710,1165,7,6,10,21,0.333,239.58,0.58,0.42,0.83,1.75
Challenger,,skrooms,FA,Free Agent,N/A,N/A,56.09,24,0.5,12,12,8,7775,4280,3495,21,9,24,53,0.404,323.92,0.88,0.38,1.00,2.17
Challenger,RSC000660,NoahBez,Flares,Fallout Shelter,Solar,N/A,46.83,33,0.424,14,19,1,9923,5500,4423,14,21,49,60,0.237,300.67,0.42,0.64,1.46,1.79
Challenger,RSC000378,Shwae,Flares,Fallout Shelter,Solar,N/A,56.41,66,0.333,22,44,11,21838,12070,9768,60,29,62,152,0.395,330.86,0.91,0.44,0.94,2.30
Challenger,,raze00,Flares,Fallout Shelter,Solar,N/A,10.26,28,0.179,5,23,0,6419,3250,3169,10,6,33,30,0.345,229.25,0.36,0.21,1.14,1.04
Challenger,RSC000010,Érid,Flares,Fallout Shelter,Solar,N/A,34.37,37,0.432,16,21,5,10013,5540,4473,23,10,42,64,0.349,270.60,0.60,0.27,1.14,1.70
Challenger,,A Toaster,Ground Hunt,Rocket League Noob Series,Lunar,N/A,52.75,62,0.532,33,29,7,18934,10190,8744,41,37,60,124,0.331,305.39,0.66,0.58,0.95,2.00
Challenger,,Capital,Ground Hunt,Rocket League Noob Series,Lunar,N/A,12.54,20,0.45,9,11,2,4072,1870,2202,7,6,13,22,0.318,203.60,0.35,0.30,0.65,1.10
Challenger,,Typhon,Ground Hunt,Rocket League Noob Series,Lunar,N/A,58.31,54,0.537,29,25,11,17498,9490,8008,47,20,49,134,0.351,324.02,0.87,0.37,0.91,2.48
Challenger,RSC000260,iTheFreshPrince,Ground Hunt,Rocket League Noob Series,Lunar,N/A,67.37,52,0.519,27,25,13,18724,10640,8084,47,22,71,129,0.359,360.06,0.89,0.42,1.37,2.46
Challenger,,Burritoman62,Khazad-dum,Free Agent,N/A,N/A,92.4,63,0.73,46,17,18,24070,14340,9730,67,50,63,199,0.338,382.05,1.06,0.78,1.00,3.14
Challenger,,MoatsArt,Khazad-dum,Free Agent,N/A,N/A,64.68,31,0.677,21,10,5,9719,5890,3829,24,20,35,74,0.315,313.48,0.74,0.65,1.10,2.36
Challenger,,andrew,Khazad-dum,Free Agent,N/A,N/A,84.23,67,0.687,46,21,16,25103,15050,10053,74,42,74,185,0.400,374.66,1.10,0.61,1.09,2.76
Challenger,,broshu,Khazad-dum,Free Agent,N/A,N/A,71.8,40,0.625,25,15,7,13289,7760,5529,40,23,30,111,0.360,332.23,1.00,0.58,0.75,2.78
Challenger,RSC000594,HeWhoGrins,Killer Bees,The Swarm,Solar,N/A,55.97,40,0.7,28,12,4,11485,6330,5155,32,25,22,78,0.410,287.13,0.80,0.63,0.55,1.95
Challenger,RSC000928,Nativology,Killer Bees,The Swarm,Solar,N/A,66.51,38,0.579,22,16,7,12262,7370,4892,35,23,36,92,0.385,322.68,0.92,0.61,0.95,2.40
Challenger,RSC000848,WittingHalo64,Killer Bees,The Swarm,Solar,N/A,90.96,58,0.672,39,19,13,21664,12670,8994,62,57,39,167,0.365,373.52,1.05,0.97,0.67,2.88
Challenger,RSC000753,prolly,Killer Bees,The Swarm,Solar,N/A,90.25,65,0.677,44,21,22,25751,15200,10551,70,44,81,195,0.354,396.17,1.06,0.66,1.25,3.00
Challenger,RSC000034,Frosty2200,Leviathans,πολύ κεφάλη,Lunar,N/A,64.84,64,0.688,44,20,10,20381,12130,8251,56,36,66,143,0.392,318.45,0.88,0.55,1.03,2.23
Challenger,,Pana_,Leviathans,πολύ κεφάλη,Lunar,N/A,69.25,63,0.635,40,23,12,21493,12760,8733,60,31,73,156,0.378,341.14,0.94,0.49,1.14,2.48
Challenger,RSC000132,Rymaster,Leviathans,πολύ κεφάλη,Lunar,N/A,85.49,60,0.633,38,22,21,21999,12880,9119,60,47,53,188,0.321,366.65,1.00,0.77,0.88,3.12
Challenger,RSC000429,Ty,Leviathans,πολύ κεφάλη,Lunar,N/A,-14.71,10,0.2,2,8,0,1371,500,871,0,2,6,10,0.000,137.10,0.00,0.20,0.60,1.00
Challenger,,LieutenantSolo,Malice,Track Artists,Lunar,N/A,83.02,62,0.532,33,29,23,25137,13810,11327,70,31,70,176,0.394,405.44,1.11,0.50,1.13,2.82
Challenger,,OG Ledbone,Malice,Track Artists,Lunar,N/A,33.08,24,0.292,7,17,1,6278,3240,3038,11,14,21,39,0.282,261.54,0.46,0.58,0.88,1.63
Challenger,,Y4ZT,Malice,Track Artists,Lunar,N/A,45.18,60,0.517,31,29,4,16610,9380,7230,47,27,44,113,0.411,276.83,0.77,0.45,0.73,1.87
Challenger,,kartracer,Malice,Track Artists,Lunar,N/A,47.35,48,0.625,30,18,5,12513,7460,5053,34,27,35,96,0.354,260.67,0.71,0.54,0.73,2.00
Challenger,RSC000390,Cronus,Owls,Birds of Prey,Solar,N/A,69.73,47,0.596,28,19,13,16605,9020,7585,37,26,55,127,0.294,353.28,0.79,0.55,1.15,2.68
Challenger,,FRIENDS FOREVER,Owls,Birds of Prey,Solar,N/A,39.88,32,0.531,17,15,1,7825,4450,3375,20,18,18,65,0.292,244.53,0.59,0.56,0.56,2.03
Challenger,RSC000028,Just_hollywood,Owls,Birds of Prey,Solar,N/A,71.65,51,0.569,29,22,14,17923,10170,7753,55,22,42,147,0.367,351.41,1.06,0.43,0.80,2.88
Challenger,RSC000783,rdales,Owls,Birds of Prey,Solar,N/A,38.34,31,0.581,18,13,3,7925,4580,3345,17,16,32,48,0.354,255.65,0.55,0.48,1.03,1.55
Challenger,,Neophite,PermFA,Free Agent,N/A,N/A,29.6,3,0,0,3,0,978,660,318,3,0,6,6,0.400,325.67,0.67,0.00,1.67,1.67
Challenger,,Protricat,PermFA,Free Agent,N/A,N/A,82.27,4,1,4,0,1,1356,670,686,2,4,3,12,0.167,339.00,0.50,1.00,0.75,3.00
Challenger,,hoyci43265,PermFA,Free Agent,N/A,N/A,8.75,10,0.2,2,8,1,2186,960,1226,3,3,8,11,0.273,218.60,0.30,0.30,0.80,1.10
Challenger,,Juanma,Pioneers,The SpaceXplorers,Solar,N/A,29.48,8,0,0,8,0,2350,1230,1120,4,3,11,13,0.308,293.75,0.50,0.38,1.38,1.63
Challenger,,Kontoris,Pioneers,The SpaceXplorers,Solar,N/A,53.04,47,0.34,16,31,7,14321,8020,6301,45,21,26,117,0.384,304.68,0.96,0.43,0.55,2.49
Challenger,RSC000148,Shadowvail,Pioneers,The SpaceXplorers,Solar,N/A,36.49,50,0.28,14,36,4,14355,7530,6825,31,20,52,83,0.373,287.10,0.62,0.40,1.04,1.66
Challenger,RSC000711,Aloza,Rocs,The Birdcage,Lunar,N/A,48.23,46,0.5,23,23,2,13112,6960,6152,33,21,30,111,0.297,285.04,0.72,0.44,0.65,2.41
Challenger,,Jakudicon,Rocs,The Birdcage,Lunar,N/A,37.15,21,0.524,11,10,1,5845,2960,2885,10,9,23,36,0.286,278.33,0.48,0.38,1.10,1.67
Challenger,RSC000107,Superfast Moose,Rocs,The Birdcage,Lunar,N/A,48.34,63,0.46,29,34,15,19613,10630,8983,44,23,76,128,0.339,311.32,0.68,0.37,1.21,2.02
Challenger,,packrat31306,Rocs,The Birdcage,Lunar,N/A,35.2,38,0.395,15,23,3,9741,5540,4201,25,13,32,79,0.308,256.32,0.63,0.34,0.84,2.05
Challenger,RSC000958,Accidental Wolverine,Shock,Electric Mayhem,Lunar,N/A,31.12,52,0.423,22,30,3,13684,7410,6274,31,18,54,71,0.423,263.14,0.58,0.33,1.04,1.37
Challenger,RSC000366,liquid cight,Shock,Electric Mayhem,Lunar,N/A,61.33,43,0.442,19,24,9,15136,8230,6906,36,23,51,93,0.380,351.98,0.81,0.51,1.16,2.14
Challenger,,scraps674,Shock,Electric Mayhem,Lunar,N/A,40.12,9,0.667,6,3,1,2376,1330,1046,7,3,6,18,0.353,263.89,0.67,0.33,0.56,1.89
Challenger,RSC000268,tomoose0529,Shock,Electric Mayhem,Lunar,N/A,50.66,56,0.375,21,35,7,18893,9820,9073,32,27,84,107,0.293,337.38,0.55,0.48,1.50,1.89
Challenger,RSC000478,HardeyOG,Shrimps,The Aquarium,Solar,N/A,35.26,25,0.4,10,15,4,6786,3600,3186,17,7,22,45,0.378,271.44,0.68,0.28,0.88,1.80
Challenger,RSC000212,McMonkey,Shrimps,The Aquarium,Solar,N/A,55.37,44,0.523,23,21,9,13404,7390,6014,29,28,43,94,0.309,304.64,0.66,0.64,0.98,2.14
Challenger,RSC000939,Mega_Dookie,Shrimps,The Aquarium,Solar,N/A,46.38,47,0.468,22,25,4,13308,8220,5088,36,19,55,92,0.381,283.13,0.75,0.40,1.17,1.96
Challenger,RSC000099,Squishysquirrel,Shrimps,The Aquarium,Solar,N/A,57.38,48,0.458,22,26,9,15820,8670,7150,35,21,58,122,0.289,329.58,0.73,0.42,1.21,2.52
Challenger,RSC000420,PumpKant,Spastics,The Quad Dynasty,Solar,N/A,81.74,36,0.861,31,5,10,12464,7680,4784,33,27,42,93,0.344,346.22,0.89,0.75,1.14,2.58
Challenger,,Wheelchair,Spastics,The Quad Dynasty,Solar,N/A,46.3,42,0.595,25,17,4,11951,7010,4941,28,24,49,56,0.482,284.52,0.64,0.57,1.14,1.33
Challenger,RSC000620,thepaperboy,Spastics,The Quad Dynasty,Solar,N/A,80.18,59,0.729,43,16,17,20806,12140,8666,56,44,55,159,0.354,352.64,0.95,0.73,0.93,2.68
Challenger,RSC000098,treko50,Spastics,The Quad Dynasty,Solar,N/A,90.62,67,0.701,47,20,18,25638,15730,9908,86,40,62,203,0.421,382.64,1.27,0.60,0.93,3.02
Challenger,,Bgellis2,Tens,House of Cards,Lunar,N/A,10.59,44,0.205,9,35,2,9242,4870,4372,20,11,35,57,0.339,210.02,0.43,0.25,0.77,1.27
Challenger,,Kiimmmiiii89,Tens,House of Cards,Lunar,N/A,10.99,32,0.219,7,25,1,7312,3360,3952,10,9,31,36,0.285,228.47,0.31,0.28,0.94,1.09
Challenger,,MuellCity,Tens,House of Cards,Lunar,N/A,25.54,38,0.263,10,28,2,9900,4850,5050,17,14,38,55,0.309,260.53,0.45,0.37,1.00,1.45
Challenger,,Satoshi,Tens,House of Cards,Lunar,N/A,34.96,43,0.302,13,30,3,11778,6620,5158,27,15,47,82,0.321,273.88,0.61,0.33,1.09,1.88
Challenger,,Brackenfur555,Zombies,The Dungeon,Lunar,N/A,34.46,68,0.206,14,54,4,19227,10810,8417,46,25,77,111,0.418,282.75,0.68,0.35,1.12,1.62
Challenger,,Grizz,Zombies,The Dungeon,Lunar,N/A,49.15,34,0.265,9,25,4,10691,6080,4611,27,15,37,78,0.333,314.41,0.77,0.41,1.09,2.29
Challenger,,Sasha Thumper,Zombies,The Dungeon,Lunar,N/A,37.87,55,0.2,11,44,3,16330,8290,8040,35,19,54,114,0.309,296.91,0.64,0.35,0.96,2.06
Challenger,,mc_puff07,Zombies,The Dungeon,Lunar,N/A,34.53,41,0.171,7,34,2,11729,6670,5059,21,24,57,52,0.404,286.05,0.51,0.56,1.37,1.27
Contender,RSC000422,Astrotennis,Boxers,Dog Pound,Solar,N/A,29.59,18,0.222,4,14,2,3714,1910,1804,6,6,15,26,0.240,206.28,0.33,0.28,0.78,1.39
Contender,,Die20125,Boxers,Dog Pound,Solar,N/A,23.6,4,0,0,4,0,927,270,657,0,1,3,7,0.000,231.75,0.00,0.25,0.75,1.75
Contender,,MiniSprat,Boxers,Dog Pound,Solar,N/A,36.57,22,0.227,5,17,2,5355,2590,2765,11,7,14,44,0.228,243.36,0.46,0.27,0.59,2.00
Contender,,Tip2296,Boxers,Dog Pound,Solar,N/A,37.13,38,0.316,12,26,2,8740,4870,3870,23,10,30,57,0.393,230.00,0.58,0.26,0.79,1.47
Contender,,DirkDiggler1041,Cheetahs,Apex Predators,Solar,N/A,43.21,30,0.3,9,21,2,6996,4040,2956,18,15,19,54,0.321,233.17,0.57,0.50,0.63,1.77
Contender,,Genie,Cheetahs,Apex Predators,Solar,N/A,42.32,43,0.395,17,26,3,9739,5520,4219,28,20,20,72,0.375,226.49,0.63,0.44,0.44,1.67
Contender,,Rakkety_Tam,Cheetahs,Apex Predators,Solar,N/A,56.84,49,0.429,21,28,6,14982,8380,6602,39,20,47,113,0.339,305.74,0.78,0.39,0.94,2.29
Contender,,bongtage,Cheetahs,Apex Predators,Solar,N/A,57.76,43,0.442,19,24,11,13681,7600,6081,35,16,48,90,0.382,318.14,0.79,0.37,1.12,2.07
Contender,,Lt_Col_Thorin,FA,Free Agent,N/A,N/A,16.27,11,0.273,3,8,0,1765,880,885,3,2,8,8,0.250,160.36,0.18,0.09,0.73,0.73
Contender,,Neverlvcky,FA,Free Agent,N/A,N/A,67.84,6,0.333,2,4,2,2094,1250,844,5,3,8,20,0.263,349.00,0.83,0.50,1.17,3.17
Contender,RSC000570,Zee,FA,Free Agent,N/A,N/A,42.59,13,0.462,6,7,1,3241,1840,1401,11,4,7,19,0.611,249.23,0.85,0.23,0.46,1.39
Contender,,al0th,FA,Free Agent,N/A,N/A,54.09,22,0.318,7,15,3,6369,3720,2649,18,11,18,47,0.370,289.50,0.77,0.50,0.82,2.09
Contender,,jf.jeff.jeffy / x1_be_fire,FA,Free Agent,N/A,N/A,35.84,19,0.526,10,9,1,3663,1960,1703,7,8,12,26,0.240,192.74,0.32,0.42,0.58,1.32
Contender,,whitefangdavid,FA,Free Agent,N/A,N/A,-1.73,1,0,0,1,0,92,50,42,0,0,1,0,0.000,92.00,0.00,0.00,1.00,0.00
Contender,,Plunger Hat,Fury,Track Artists,Lunar,N/A,73.97,56,0.518,29,27,17,21870,12800,9070,75,17,60,145,0.517,390.52,1.34,0.29,1.05,2.59
Contender,,Young_DyLon,Fury,Track Artists,Lunar,N/A,60.98,33,0.636,21,12,8,9409,5140,4269,24,18,20,84,0.274,285.09,0.70,0.55,0.61,2.55
Contender,RSC000868,mtiptonatc,Fury,Track Artists,Lunar,N/A,47.22,42,0.524,22,20,4,9495,5670,3825,24,24,28,67,0.358,226.07,0.57,0.55,0.64,1.60
Contender,,zOfficialWinner,Fury,Track Artists,Lunar,N/A,24.16,30,0.5,15,15,0,4839,2190,2649,7,7,18,24,0.304,161.30,0.23,0.23,0.60,0.77
Contender,,Hugo_C_21,Hellions,πολύ κεφάλη,Lunar,N/A,40.71,25,0.28,7,18,2,6267,3550,2717,17,5,23,45,0.378,250.68,0.68,0.20,0.92,1.80
Contender,,Idunnie,Hellions,πολύ κεφάλη,Lunar,N/A,38.02,33,0.424,14,19,0,7887,3800,4087,10,11,37,40,0.250,239.00,0.30,0.33,1.12,1.21
Contender,,Soxs,Hellions,πολύ κεφάλη,Lunar,N/A,38.33,29,0.379,11,18,6,7192,4020,3172,13,9,40,27,0.462,248.00,0.41,0.28,1.38,0.90
Contender,,sacoza029,Hellions,πολύ κεφάλη,Lunar,N/A,48.05,32,0.438,14,18,6,8808,4700,4108,20,8,33,65,0.308,275.25,0.63,0.25,1.03,2.03
Contender,,DrKincaid,Locusts,The Swarm,Solar,N/A,92.74,20,0.9,18,2,3,7285,4590,2695,23,19,14,64,0.359,364.25,1.15,0.95,0.70,3.20
Contender,,MonkeyMan7780,Locusts,The Swarm,Solar,N/A,101.07,46,0.826,38,8,24,19989,13230,6759,78,33,46,148,0.520,434.52,1.67,0.70,1.00,3.22
Contender,,Skillz_2424,Locusts,The Swarm,Solar,N/A,87.41,45,0.822,37,8,10,16058,10180,5878,53,41,32,123,0.423,356.84,1.16,0.91,0.69,2.73
Contender,,zignian,Locusts,The Swarm,Solar,N/A,72.31,41,0.805,33,8,6,12882,8330,4552,44,23,36,98,0.443,314.17,1.05,0.54,0.88,2.37
Contender,,ler_lar,Mongols,The Sovereign,Lunar,N/A,29.58,29,0.276,8,21,0,4914,3020,1894,11,13,17,42,0.244,169.41,0.35,0.41,0.55,1.41
Contender,,muzik villain,Mongols,The Sovereign,Lunar,N/A,57.77,25,0.76,19,6,1,6617,3890,2727,20,13,17,39,0.513,264.68,0.80,0.52,0.68,1.56
Contender,,thesquireofstash,Mongols,The Sovereign,Lunar,N/A,59.97,51,0.647,33,18,5,14687,8240,6447,33,30,50,94,0.355,287.98,0.65,0.59,0.96,1.82
Contender,RSC000262,vsizzle wecookin,Mongols,The Sovereign,Lunar,N/A,88.96,52,0.635,33,19,26,21818,13580,8238,78,23,57,178,0.438,419.56,1.50,0.44,1.08,3.42
Contender,,Billyspleen13,Opportunities,The SpaceXplorers,Solar,N/A,67.41,52,0.462,24,28,15,17890,10220,7670,54,21,45,152,0.355,344.04,1.04,0.39,0.87,2.92
Contender,,Midnight,Opportunities,The SpaceXplorers,Solar,N/A,54.06,48,0.458,22,26,5,13280,7640,5640,34,23,42,99,0.337,276.65,0.69,0.48,0.88,2.04
Contender,,XXMcLovinXX1998,Opportunities,The SpaceXplorers,Solar,N/A,52.35,47,0.468,22,25,4,12523,7180,5343,27,26,47,83,0.329,266.43,0.57,0.55,0.98,1.75
Contender,RSC000441,Wolfocus,Spirits,Free Agent,N/A,N/A,27.91,7,0.143,1,6,1,1649,1000,649,4,0,10,10,0.334,235.43,0.43,0.00,1.29,1.29
Contender,,DorianGray,Strix,The Birdcage,Lunar,N/A,28.17,44,0.432,19,25,1,7885,4320,3565,18,10,32,42,0.439,179.18,0.41,0.21,0.73,0.93
Contender,,Quarlth,Strix,The Birdcage,Lunar,N/A,81.36,38,0.579,22,16,18,15463,8660,6803,52,16,29,121,0.430,406.92,1.37,0.42,0.76,3.18
Contender,RSC000192,codemanx,Strix,The Birdcage,Lunar,N/A,50.26,46,0.435,20,26,4,12962,7150,5812,29,19,51,75,0.379,281.76,0.61,0.41,1.09,1.61
Contender,RSC000047,kidnutrageous,Strix,The Birdcage,Lunar,N/A,35.28,35,0.371,13,22,2,7410,3580,3830,14,14,20,48,0.292,211.69,0.40,0.40,0.54,1.37
Elite,,Alpha,Alpha Squadron,CCA United,Solar,N/A,24.85,16,0.5,8,8,1,4674,2060,2614,4,6,20,36,0.111,292.13,0.25,0.38,1.19,2.25
Elite,,Evster,Alpha Squadron,CCA United,Solar,N/A,64.14,57,0.614,35,22,11,20609,11580,9029,54,34,59,153,0.349,361.54,0.93,0.60,1.04,2.67
Elite,,Shoey52,Alpha Squadron,CCA United,Solar,N/A,48.75,47,0.596,28,19,5,15406,8110,7296,27,37,51,101,0.270,327.77,0.57,0.77,1.09,2.13
Elite,,Veer,Alpha Squadron,CCA United,Solar,N/A,94.5,50,0.62,31,19,16,21902,13180,8722,62,33,72,173,0.358,438.04,1.24,0.66,1.44,3.46
Elite,,Cannibal,Bolts,Electric Mayhem,Lunar,N/A,42.67,57,0.456,26,31,13,19136,10260,8876,37,30,78,116,0.311,335.70,0.63,0.53,1.35,2.04
Elite,,Kranne,Bolts,Electric Mayhem,Lunar,N/A,46.41,50,0.46,23,27,7,17400,9390,8010,31,24,79,114,0.272,348.00,0.62,0.48,1.58,2.28
Elite,RSC000358,stryyk3r,Bolts,Electric Mayhem,Lunar,N/A,32.89,24,0.417,10,14,3,7149,3460,3689,12,14,20,56,0.218,297.88,0.50,0.54,0.79,2.29
Elite,,tylerj,Bolts,Electric Mayhem,Lunar,N/A,39.89,57,0.474,27,30,6,17294,8980,8314,41,30,41,133,0.301,303.39,0.70,0.53,0.70,2.33
Elite,RSC000329,Melted,Cerberii,πολύ κεφάλη,Lunar,N/A,47.13,20,0.6,12,8,5,6316,3380,2936,12,15,20,43,0.279,315.80,0.60,0.75,1.00,2.15
Elite,,Rumble,Cerberii,πολύ κεφάλη,Lunar,N/A,54.55,44,0.477,21,23,3,14982,8460,6522,39,25,43,116,0.331,340.50,0.86,0.57,0.98,2.61
Elite,RSC000408,Xero,Cerberii,πολύ κεφάλη,Lunar,N/A,80.95,59,0.576,34,25,19,24209,14180,10029,66,37,78,183,0.357,410.32,1.10,0.63,1.32,3.09
Elite,,yung veeny,Cerberii,πολύ κεφάλη,Lunar,N/A,60.91,42,0.5,21,21,5,15102,9070,6032,34,33,60,102,0.327,359.57,0.79,0.76,1.41,2.41
Elite,,BestPayload,Chairs,The Quad Dynasty,Solar,N/A,57.05,53,0.472,25,28,9,19213,10910,8303,42,30,77,136,0.302,362.51,0.77,0.57,1.43,2.57
Elite,RSC000525,CheesePie,Chairs,The Quad Dynasty,Solar,N/A,15.05,24,0.292,7,17,2,6503,3140,3363,12,6,24,44,0.279,270.96,0.50,0.25,1.00,1.79
Elite,RSC000325,Rayem Whisperwind,Chairs,The Quad Dynasty,Solar,N/A,47.39,52,0.519,27,25,9,17680,9940,7740,35,30,77,109,0.324,340.00,0.67,0.56,1.46,2.08
Elite,,Stray,Chairs,The Quad Dynasty,Solar,N/A,57.51,56,0.464,26,30,9,19870,11370,8500,48,35,69,137,0.350,354.82,0.86,0.63,1.23,2.45
Elite,RSC000242,Dead Medic,Enterprise,Interstellar,Lunar,N/A,54,54,0.463,25,29,9,20102,10810,9292,41,31,80,116,0.353,372.24,0.76,0.56,1.48,2.15
Elite,,SpenSah,Enterprise,Interstellar,Lunar,N/A,52.35,42,0.595,25,17,4,13925,8180,5745,25,35,61,88,0.284,331.52,0.60,0.81,1.43,2.10
Elite,,Tamil Camel,Enterprise,Interstellar,Lunar,N/A,32.94,35,0.486,17,18,3,9862,5270,4592,25,16,25,72,0.347,281.77,0.71,0.46,0.71,2.06
Elite,,Xephs,Enterprise,Interstellar,Lunar,N/A,60.77,67,0.507,34,33,17,24242,13820,10422,61,43,78,167,0.367,361.81,0.91,0.63,1.16,2.48
