,,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
,,,Wüsten,Veteran,"Xenomorphs
Centaurs","The Monster Mash
The Forest",Lunar,70.8,681,45,0.493,0.511,23,22,17319,9340,7979,35,31,60,129,27.1%,386.4,208.4,178.0,0.78,0.69,1.34,2.88,384.9,207.6,177.3,0.78,0.69,1.33,2.87,110,112,2.45,2.50,2.44,2.49
Sort(s),,,Virrexo,Veteran,Xenomorphs,The Monster Mash,Lunar,69.9,390,27,0.425,0.370,10,17,10005,5540,4465,25,14,31,79,31.6%,389.7,215.8,173.9,0.97,0.55,1.21,3.08,370.6,205.2,165.4,0.93,0.52,1.15,2.93,57,69,2.22,2.69,2.11,2.56
Stat,Order,,Gillz,Veteran,Yellow Jackets,The Swarm,Solar,69.3,136,8,0.576,0.375,3,5,3494,2370,1124,14,5,9,27,51.9%,390.3,264.7,125.6,1.56,0.56,1.01,3.02,436.8,296.3,140.5,1.75,0.63,1.13,3.38,30,25,3.35,2.79,3.75,3.13
Name,Desc,,Nighthawk,Veteran,Cobras,The Serpents,Lunar,68.5,781,51,0.650,0.647,33,18,19846,11740,8106,57,36,57,139,41.0%,386.0,228.4,157.7,1.11,0.70,1.11,2.70,389.1,230.2,158.9,1.12,0.71,1.12,2.73,155,105,3.02,2.04,3.04,2.06
Conference,Desc,,Blue Eyes Thunder Thighs,Veteran,Typhoons,Storm,Solar,68.2,896,63,0.491,0.508,32,31,23527,13240,10287,53,35,93,154,34.4%,398.9,224.5,174.4,0.90,0.59,1.58,2.61,373.4,210.2,163.3,0.84,0.56,1.48,2.44,131,134,2.22,2.27,2.08,2.13
TS,Desc,,Scorch,Veteran,Makos,Shark Attack,Lunar,67.5,930,64,0.611,0.578,37,27,23195,13550,9645,66,33,67,195,33.8%,378.9,221.3,157.6,1.08,0.54,1.09,3.19,362.4,211.7,150.7,1.03,0.52,1.05,3.05,162,121,2.65,1.98,2.53,1.89
,,,Dreemr,Veteran,"Centaurs
Xenomorphs","The Forest
The Monster Mash",Lunar,67.4,264,18,0.328,0.278,5,13,6549,3570,2979,14,11,22,52,26.9%,376.9,205.4,171.4,0.81,0.63,1.27,2.99,363.8,198.3,165.5,0.78,0.61,1.22,2.89,33,52,1.90,2.99,1.83,2.89
,,,Qudron,Veteran,Humpbacks,Whale Defense,Solar,66.8,885,56,0.572,0.589,33,23,21918,12580,9338,55,39,69,168,32.7%,376.2,215.9,160.3,0.94,0.67,1.18,2.88,391.4,224.6,166.8,0.98,0.70,1.23,3.00,147,122,2.52,2.09,2.63,2.18
,,,Panick,Veteran,Cobras,The Serpents,Lunar,66.7,841,56,0.724,0.696,39,17,20351,12200,8151,50,46,68,150,33.3%,367.6,220.4,147.2,0.90,0.83,1.23,2.71,363.4,217.9,145.6,0.89,0.82,1.21,2.68,175,95,3.16,1.72,3.13,1.70
,,,Dan.,Veteran,Typhoons,Storm,Solar,66.5,219,16,0.532,0.625,10,6,5481,3090,2391,12,10,20,39,30.8%,380.2,214.4,165.9,0.83,0.69,1.39,2.71,342.6,193.1,149.4,0.75,0.63,1.25,2.44,39,36,2.71,2.50,2.44,2.25
,,,Glitchfire;,Veteran,"Titanium
Werewolves
X-ray","Metal
The Bestiary
The Wavelengths",Solar,66.5,709,44,0.452,0.477,21,23,17746,10110,7636,39,26,70,141,27.7%,380.2,216.6,163.6,0.84,0.56,1.50,3.02,403.3,229.8,173.5,0.89,0.59,1.59,3.20,107,121,2.29,2.59,2.43,2.75
,,,Nebulade,Veteran,Linguini Lancers,Italian Battalion,Lunar,66.1,961,60,0.580,0.583,35,25,23076,13390,9686,55,54,70,169,32.5%,364.8,211.7,153.1,0.87,0.85,1.11,2.67,384.6,223.2,161.4,0.92,0.90,1.17,2.82,166,135,2.62,2.13,2.77,2.25
,,,Likewisse,Veteran,Werewolves,The Bestiary,Lunar,65.8,921,59,0.416,0.458,27,32,23730,13780,9950,73,28,66,178,41.0%,391.4,227.3,164.1,1.20,0.46,1.09,2.94,402.2,233.6,168.6,1.24,0.47,1.12,3.02,146,180,2.41,2.97,2.47,3.05
,,,Pizzly,Veteran,Lynx,Polar Vortex,Lunar,65.1,333,22,0.564,0.500,11,11,8147,4520,3627,20,15,23,62,32.3%,371.7,206.2,165.5,0.91,0.68,1.05,2.83,370.3,205.5,164.9,0.91,0.68,1.05,2.82,51,43,2.33,1.96,2.32,1.95
,,,Taskhetto,Veteran,Water,The Elements,Solar,63.9,699,43,0.437,0.419,18,25,17185,9680,7505,36,34,64,118,30.5%,373.5,210.4,163.1,0.78,0.74,1.39,2.56,399.7,225.1,174.5,0.84,0.79,1.49,2.74,102,120,2.22,2.61,2.37,2.79
,,,Zarthon77,Veteran,Water,The Elements,Solar,63.9,57,4,0.542,0.500,2,2,1284,820,464,4,3,3,12,33.3%,342.2,218.5,123.7,1.07,0.80,0.80,3.20,321.0,205.0,116.0,1.00,0.75,0.75,3.00,10,9,2.67,2.40,2.50,2.25
,,,Bovi,Veteran,Blue Angels,Warbirds,Lunar,63.9,798,53,0.560,0.509,27,26,19521,11430,8091,57,28,54,163,35.0%,371.6,217.6,154.0,1.09,0.53,1.03,3.10,368.3,215.7,152.7,1.08,0.53,1.02,3.08,143,123,2.72,2.34,2.70,2.32
,,,Revan,Veteran,Supernova,The Cosmos,Solar,63.5,794,55,0.537,0.545,30,25,19335,10660,8675,40,39,67,136,29.4%,369.9,204.0,166.0,0.77,0.75,1.28,2.60,351.5,193.8,157.7,0.73,0.71,1.22,2.47,132,120,2.53,2.30,2.40,2.18
,,,Moondog,Veteran,Humpbacks,Whale Defense,Solar,63.4,965,62,0.552,0.548,34,28,23748,14190,9558,65,37,80,184,35.3%,373.9,223.4,150.5,1.02,0.58,1.26,2.90,383.0,228.9,154.2,1.05,0.60,1.29,2.97,161,141,2.53,2.22,2.60,2.27
,,,Critical,Veteran,Werewolves,The Bestiary,Lunar,62.7,748,47,0.455,0.489,23,24,17525,10510,7015,46,31,56,156,29.5%,355.9,213.5,142.5,0.93,0.63,1.14,3.17,372.9,223.6,149.3,0.98,0.66,1.19,3.32,129,144,2.62,2.92,2.74,3.06
,,,Keiko,Veteran,Seadevils,The Abyss,Lunar,62.2,871,57,0.579,0.579,33,24,22405,13800,8605,65,30,87,145,44.8%,390.8,240.7,150.1,1.13,0.52,1.52,2.53,393.1,242.1,151.0,1.14,0.53,1.53,2.54,160,131,2.79,2.28,2.81,2.30
,,,Dr. Cereal,Veteran,Hart Foundation,Rocket Association Wrestling,Lunar,62.1,891,59,0.500,0.508,30,29,22263,12230,10033,41,37,96,148,27.7%,379.6,208.5,171.1,0.70,0.63,1.64,2.52,377.3,207.3,170.1,0.69,0.63,1.63,2.51,126,126,2.15,2.15,2.14,2.14
,,,Gga Astro,Veteran,Water,The Elements,Solar,61.7,47,3,0.670,1.000,3,0,1052,630,422,3,1,3,13,23.1%,340.0,203.6,136.4,0.97,0.32,0.97,4.20,350.7,210.0,140.7,1.00,0.33,1.00,4.33,8,5,2.59,1.62,2.67,1.67
,,,Gman,Veteran,Linguini Lancers,Italian Battalion,Lunar,60.3,828,52,0.576,0.577,30,22,20008,11960,8048,54,33,68,151,35.8%,367.1,219.4,147.7,0.99,0.61,1.25,2.77,384.8,230.0,154.8,1.04,0.63,1.31,2.90,139,114,2.55,2.09,2.67,2.19
,,,Sagents,Veteran,Mastiffs,Puppy Paradise,Lunar,59.9,822,54,0.452,0.500,27,27,19867,11420,8447,40,33,86,147,27.2%,367.2,211.1,156.1,0.74,0.61,1.59,2.72,367.9,211.5,156.4,0.74,0.61,1.59,2.72,113,128,2.09,2.37,2.09,2.37
,,,Zdawg2020Dec,Veteran,Linguini Lancers,Italian Battalion,Lunar,59.8,444,28,0.571,0.536,15,13,10327,6040,4287,23,20,38,84,27.4%,353.3,206.7,146.7,0.79,0.68,1.30,2.87,368.8,215.7,153.1,0.82,0.71,1.36,3.00,78,65,2.67,2.22,2.79,2.32
,,,Jer :),Veteran,Fuzz,Rock FX,Lunar,59.5,710,49,0.554,0.612,30,19,17113,9410,7703,38,31,57,121,31.4%,366.2,201.3,164.8,0.81,0.66,1.22,2.59,349.2,192.0,157.2,0.78,0.63,1.16,2.47,125,109,2.67,2.33,2.55,2.22
,,,Bill3113,Veteran,Fantastic Four,The Comic Crusaders,Lunar,59.5,866,58,0.603,0.638,37,21,21063,12800,8263,60,35,71,150,40.0%,369.5,224.5,145.0,1.05,0.61,1.25,2.63,363.2,220.7,142.5,1.03,0.60,1.22,2.59,154,118,2.70,2.07,2.66,2.03
,,,Wicked,Veteran,Ballycastle Bats,Quidditch League,Solar,58.8,723,45,0.602,0.644,29,16,17102,9930,7172,41,34,58,123,33.3%,359.4,208.7,150.7,0.86,0.71,1.22,2.58,380.0,220.7,159.4,0.91,0.76,1.29,2.73,124,95,2.61,2.00,2.76,2.11
,,,Jackk,Veteran,Yellow Jackets,The Swarm,Solar,58.6,763,49,0.564,0.531,26,23,18116,10350,7766,41,41,61,115,35.7%,360.7,206.1,154.6,0.82,0.82,1.21,2.29,369.7,211.2,158.5,0.84,0.84,1.24,2.35,133,113,2.65,2.25,2.71,2.31
,,,Varenine,Veteran,X-ray,The Wavelengths,Solar,58.5,64,4,0.247,0.000,0,4,1411,860,551,4,4,3,11,36.4%,334.9,204.1,130.8,0.95,0.95,0.71,2.61,352.8,215.0,137.8,1.00,1.00,0.75,2.75,10,19,2.37,4.51,2.50,4.75
,,,Limon,Veteran,Peppermint,Minty Fresh,Solar,58.1,968,62,0.500,0.516,32,30,23162,12830,10332,54,27,82,198,27.3%,363.5,201.4,162.2,0.85,0.42,1.29,3.11,373.6,206.9,166.6,0.87,0.44,1.32,3.19,143,143,2.24,2.24,2.31,2.31
,,,Ghostie,Veteran,"Seadevils
Lynx
Calzones","The Abyss
Polar Vortex
Fifty-Fifty Pizzeria",Lunar,57.6,253,17,0.684,0.765,13,4,5917,3430,2487,15,12,18,43,34.9%,355.3,206.0,149.3,0.90,0.72,1.08,2.58,348.1,201.8,146.3,0.88,0.71,1.06,2.53,52,32,3.12,1.92,3.06,1.88
,,,Snack Time!,Veteran,Fuzz,Rock FX,Lunar,56.5,722,51,0.493,0.529,27,24,17506,9600,7906,42,25,58,125,33.6%,368.4,202.0,166.4,0.88,0.53,1.22,2.63,343.3,188.2,155.0,0.82,0.49,1.14,2.45,117,119,2.46,2.50,2.29,2.33
,,,Mered4,Veteran,Lynx,Polar Vortex,Lunar,56.1,874,58,0.463,0.431,25,33,20875,11730,9145,44,32,84,153,28.8%,362.8,203.9,159.0,0.76,0.56,1.46,2.66,359.9,202.2,157.7,0.76,0.55,1.45,2.64,129,142,2.24,2.47,2.22,2.45
,,,Torque,Veteran,Calzones,Fifty-Fifty Pizzeria,Solar,56.0,513,35,0.464,0.486,17,18,12498,6680,5818,23,19,52,83,27.7%,370.1,197.8,172.3,0.68,0.56,1.54,2.46,357.1,190.9,166.2,0.66,0.54,1.49,2.37,72,79,2.13,2.34,2.06,2.26
,,,Crypt_Rl,Veteran,"Peppermint
Calzones","Minty Fresh
Fifty-Fifty Pizzeria",Solar,56.0,824,57,0.557,0.561,32,25,19698,10970,8728,46,33,67,137,33.6%,363.2,202.3,160.9,0.85,0.61,1.24,2.53,345.6,192.5,153.1,0.81,0.58,1.18,2.40,129,111,2.38,2.05,2.26,1.95
,,,Reyn,Veteran,Fuzz,Rock FX,Lunar,55.5,607,41,0.543,0.537,22,19,14034,8140,5894,40,21,38,119,33.6%,351.2,203.7,147.5,1.00,0.53,0.95,2.98,342.3,198.5,143.8,0.98,0.51,0.93,2.90,106,95,2.65,2.38,2.59,2.32
,,,Mario,Veteran,Taurus,The N Ξ X U S,Solar,55.2,670,46,0.411,0.413,19,27,16150,9170,6980,45,22,48,117,38.5%,366.2,207.9,158.3,1.02,0.50,1.09,2.65,351.1,199.3,151.7,0.98,0.48,1.04,2.54,105,131,2.38,2.97,2.28,2.85
,,,Nickm,Veteran,Ballycastle Bats,Quidditch League,Solar,55.1,857,52,0.589,0.596,31,21,19022,11890,7132,49,41,67,159,30.8%,337.2,210.8,126.4,0.87,0.73,1.19,2.82,365.8,228.7,137.2,0.94,0.79,1.29,3.06,144,114,2.55,2.02,2.77,2.19
,,,Young Jay.,Veteran,Hart Foundation,Rocket Association Wrestling,Lunar,54.9,586,38,0.509,0.500,19,19,13879,7630,6249,36,19,40,108,33.3%,359.8,197.8,162.0,0.93,0.49,1.04,2.80,365.2,200.8,164.4,0.95,0.50,1.05,2.84,89,87,2.31,2.26,2.34,2.29
,,,Meatrius,Veteran,Titanium,Metal,Solar,54.7,754,48,0.560,0.583,28,20,18468,10470,7998,41,25,78,122,33.6%,372.1,211.0,161.1,0.83,0.50,1.57,2.46,384.8,218.1,166.6,0.85,0.52,1.63,2.54,117,100,2.36,2.01,2.44,2.08
,,,Fineapple,Veteran,Supernova,The Cosmos,Solar,54.6,874,61,0.554,0.574,35,26,20904,11460,9444,42,34,83,141,29.8%,363.4,199.2,164.2,0.73,0.59,1.44,2.45,342.7,187.9,154.8,0.69,0.56,1.36,2.31,147,128,2.56,2.22,2.41,2.10
,,,Donald,Veteran,Titanium,Metal,Solar,54.4,983,62,0.587,0.629,39,23,22478,13010,9468,43,39,99,181,23.8%,347.4,201.1,146.3,0.66,0.60,1.53,2.80,362.5,209.8,152.7,0.69,0.63,1.60,2.92,155,123,2.40,1.90,2.50,1.98
,,,Splish.,Veteran,Yellow Jackets,The Swarm,Solar,53.7,554,33,0.551,0.485,16,17,12988,7750,5238,31,21,53,95,32.6%,356.2,212.5,143.6,0.85,0.58,1.45,2.61,393.6,234.8,158.7,0.94,0.64,1.61,2.88,89,78,2.44,2.14,2.70,2.36
,,,Rebel,Veteran,Calzones,Fifty-Fifty Pizzeria,Solar,52.7,194,13,0.409,0.385,5,8,4391,2270,2121,5,9,20,32,15.6%,343.9,177.8,166.1,0.39,0.70,1.57,2.51,337.8,174.6,163.2,0.38,0.69,1.54,2.46,26,33,2.04,2.58,2.00,2.54
,,,Tinyelephant,Veteran,"Calzones
Blue Angels","Fifty-Fifty Pizzeria
Warbirds",Solar,52.5,692,48,0.474,0.458,22,26,15496,8250,7246,26,29,59,125,20.8%,340.2,181.1,159.1,0.57,0.64,1.30,2.74,322.8,171.9,151.0,0.54,0.60,1.23,2.60,101,108,2.22,2.37,2.10,2.25
,,,Slmrnchr,Veteran,X-ray,The Wavelengths,Solar,52.0,691,45,0.443,0.422,19,26,15667,8960,6707,37,28,53,121,30.6%,344.4,197.0,147.5,0.81,0.62,1.17,2.66,348.2,199.1,149.0,0.82,0.62,1.18,2.69,112,129,2.46,2.84,2.49,2.87
,,,Cazzuto,Veteran,"Centaurs
Shake Weights","The Forest
As Seen on TV!",Solar,51.9,769,48,0.497,0.479,23,25,17458,9560,7898,38,26,60,146,26.0%,344.9,188.9,156.0,0.75,0.51,1.19,2.88,363.7,199.2,164.5,0.79,0.54,1.25,3.04,113,114,2.23,2.25,2.35,2.38
,,,Sabre,Veteran,Cobras,The Serpents,Lunar,51.9,342,24,0.563,0.583,14,10,7839,4470,3369,17,12,31,62,27.4%,348.2,198.6,149.7,0.76,0.53,1.38,2.75,326.6,186.3,140.4,0.71,0.50,1.29,2.58,61,52,2.71,2.31,2.54,2.17
,,,Crunch,Veteran,Fuzz,Rock FX,Lunar,51.5,721,51,0.576,0.569,29,22,16029,9360,6669,40,32,50,126,31.7%,337.7,197.2,140.5,0.84,0.67,1.05,2.65,314.3,183.5,130.8,0.78,0.63,0.98,2.47,132,109,2.78,2.30,2.59,2.14
,,,Ol Dirty Dirty,Veteran,Seadevils,The Abyss,Lunar,51.4,675,44,0.504,0.477,21,23,15025,8870,6155,32,30,60,117,27.4%,338.2,199.6,138.5,0.72,0.68,1.35,2.63,341.5,201.6,139.9,0.73,0.68,1.36,2.66,110,109,2.48,2.45,2.50,2.48
,,,2K,Veteran,Lynx,Polar Vortex,Lunar,51.2,705,48,0.472,0.438,21,27,15578,9030,6548,34,34,55,118,28.8%,335.7,194.6,141.1,0.73,0.73,1.19,2.54,324.5,188.1,136.4,0.71,0.71,1.15,2.46,108,116,2.33,2.50,2.25,2.42
,,,Tterb86,Veteran,"Blue Angels
Calzones","Warbirds
Fifty-Fifty Pizzeria",Lunar,51.1,928,63,0.600,0.587,37,26,21558,12130,9428,50,41,74,138,36.2%,352.9,198.6,154.3,0.82,0.67,1.21,2.26,342.2,192.5,149.7,0.79,0.65,1.17,2.19,173,134,2.83,2.19,2.75,2.13
,,,Difto,Veteran,Yellow Jackets,The Swarm,Solar,51.1,866,54,0.524,0.519,28,26,20096,11990,8106,45,32,89,144,31.3%,352.5,210.3,142.2,0.79,0.56,1.56,2.53,372.1,222.0,150.1,0.83,0.59,1.65,2.67,131,123,2.30,2.16,2.43,2.28
,,,Galacticcccc,Veteran,"Shake Weights
Gladiators","As Seen on TV!
The Sovereign",Lunar,50.9,853,55,0.377,0.382,21,34,20074,11300,8774,46,29,77,140,32.9%,357.5,201.3,156.3,0.82,0.52,1.37,2.49,365.0,205.5,159.5,0.84,0.53,1.40,2.55,122,167,2.17,2.97,2.22,3.04
,,,Chill,Veteran,Gorillas,The Jungle,Solar,50.8,997,64,0.462,0.500,32,32,23134,13370,9764,50,42,95,152,32.9%,352.5,203.7,148.8,0.76,0.64,1.45,2.32,361.5,208.9,152.6,0.78,0.66,1.48,2.38,144,159,2.19,2.42,2.25,2.48
,,,Shifty,Veteran,Mastiffs,Puppy Paradise,Lunar,50.2,862,57,0.487,0.544,31,26,20001,10580,9421,42,26,71,153,27.5%,352.5,186.5,166.0,0.74,0.46,1.25,2.70,350.9,185.6,165.3,0.74,0.46,1.25,2.68,119,123,2.10,2.17,2.09,2.16
,,,Joez,Veteran,Peppermint,Minty Fresh,Solar,50.1,246,16,0.478,0.500,8,8,5456,3210,2246,12,9,22,46,26.1%,336.9,198.2,138.7,0.74,0.56,1.36,2.84,341.0,200.6,140.4,0.75,0.56,1.38,2.88,33,35,2.04,2.16,2.06,2.19
,,,Goum,Veteran,Lightning,Electric Mayhem,Lunar,50.0,680,43,0.454,0.488,21,22,16548,9230,7318,28,26,85,88,31.8%,369.7,206.2,163.5,0.63,0.58,1.90,1.97,384.8,214.7,170.2,0.65,0.60,1.98,2.05,95,107,2.12,2.39,2.21,2.49
,,,Cobraz Re,Veteran,Ballycastle Bats,Quidditch League,Solar,49.9,849,51,0.597,0.647,33,18,18557,10900,7657,41,33,71,160,25.6%,332.1,195.0,137.0,0.73,0.59,1.27,2.86,363.9,213.7,150.1,0.80,0.65,1.39,3.14,148,115,2.65,2.06,2.90,2.25
,,,Based Fame,Veteran,Titanium,Metal,Solar,49.8,726,47,0.651,0.660,31,16,16354,9580,6774,45,29,48,123,36.6%,342.2,200.5,141.7,0.94,0.61,1.00,2.57,348.0,203.8,144.1,0.96,0.62,1.02,2.62,125,83,2.62,1.74,2.66,1.77
,,,Tdeez,Veteran,Supernova,The Cosmos,Solar,49.5,341,24,0.467,0.500,12,12,8219,4830,3389,21,12,33,48,43.8%,366.2,215.2,151.0,0.94,0.53,1.47,2.14,342.5,201.3,141.2,0.88,0.50,1.38,2.00,58,63,2.58,2.81,2.42,2.63
,,,Deadcupcake,Veteran,"Titanium
Gorillas","Metal
The Jungle",Solar,49.0,530,34,0.539,0.647,22,12,12264,7070,5194,30,16,47,92,32.6%,351.5,202.7,148.9,0.86,0.46,1.35,2.64,360.7,207.9,152.8,0.88,0.47,1.38,2.71,84,76,2.41,2.18,2.47,2.24
,,,Viper15,Veteran,Arctic Wolves,Sub Zero,Solar,48.6,919,63,0.542,0.556,35,28,20488,11650,8838,46,39,72,150,30.7%,338.7,192.6,146.1,0.76,0.64,1.19,2.48,325.2,184.9,140.3,0.73,0.62,1.14,2.38,145,130,2.40,2.15,2.30,2.06
,,,Arbartenn,Veteran,Grizzly Bears,The Bear Den,Lunar,48.1,838,54,0.449,0.370,20,34,19451,10690,8761,43,30,72,129,33.3%,352.6,193.8,158.8,0.78,0.54,1.31,2.34,360.2,198.0,162.2,0.80,0.56,1.33,2.39,120,137,2.18,2.48,2.22,2.54
,,,Hayhay,Veteran,Linguini Lancers,Italian Battalion,Lunar,48.1,648,41,0.621,0.610,25,16,14632,8700,5932,38,21,54,115,33.0%,343.0,204.0,139.1,0.89,0.49,1.27,2.70,356.9,212.2,144.7,0.93,0.51,1.32,2.80,118,86,2.77,2.02,2.88,2.10
,,,Sush,Veteran,"Calzones
Water
Taurus","Fifty-Fifty Pizzeria
The Elements
The N Ξ X U S",Solar,48.1,536,35,0.482,0.514,18,17,12733,6730,6003,22,20,56,73,30.1%,360.9,190.7,170.1,0.62,0.57,1.59,2.07,363.8,192.3,171.5,0.63,0.57,1.60,2.09,87,91,2.47,2.58,2.49,2.60
,,,Cubby,Veteran,Shake Weights,As Seen on TV!,Solar,47.8,626,41,0.504,0.512,21,20,14052,8110,5942,40,23,38,106,37.7%,341.0,196.8,144.2,0.97,0.56,0.92,2.57,342.7,197.8,144.9,0.98,0.56,0.93,2.59,110,109,2.67,2.65,2.68,2.66
,,,Spiffy,Veteran,Grizzly Bears,The Bear Den,Lunar,47.3,702,45,0.415,0.378,17,28,15692,8800,6892,35,23,58,125,28.0%,339.6,190.4,149.1,0.76,0.50,1.26,2.71,348.7,195.6,153.2,0.78,0.51,1.29,2.78,92,115,1.99,2.49,2.04,2.56
,,,Skrikeshut,Veteran,Water,The Elements,Solar,46.9,441,29,0.517,0.448,13,16,10162,5640,4522,22,17,39,64,34.4%,350.1,194.3,155.8,0.76,0.59,1.34,2.20,350.4,194.5,155.9,0.76,0.59,1.34,2.21,71,68,2.45,2.34,2.45,2.34
,,,Qeetz,Veteran,"Gorillas
Yellow Jackets","The Jungle
The Swarm",Solar,46.7,790,49,0.568,0.633,31,18,18526,10260,8266,34,22,90,126,27.0%,356.3,197.3,159.0,0.65,0.42,1.73,2.42,378.1,209.4,168.7,0.69,0.45,1.84,2.57,113,94,2.17,1.81,2.31,1.92
,,,Atlasxv,Veteran,Taurus,The N Ξ X U S,Solar,46.1,853,59,0.386,0.356,21,38,20180,10640,9540,43,28,75,119,36.1%,359.4,189.5,169.9,0.77,0.50,1.34,2.12,342.0,180.3,161.7,0.73,0.47,1.27,2.02,125,167,2.23,2.97,2.12,2.83
,,,Lead,Veteran,Shake Weights,As Seen on TV!,Solar,45.9,800,50,0.472,0.400,20,30,18029,10690,7339,50,26,61,134,37.3%,342.4,203.0,139.4,0.95,0.49,1.16,2.54,360.6,213.8,146.8,1.00,0.52,1.22,2.68,122,131,2.32,2.49,2.44,2.62
,,,Sly,Veteran,Supernova,The Cosmos,Solar,45.8,760,52,0.523,0.538,28,24,17488,10190,7298,49,18,61,134,36.6%,349.6,203.7,145.9,0.98,0.36,1.22,2.68,336.3,196.0,140.3,0.94,0.35,1.17,2.58,119,112,2.38,2.24,2.29,2.15
,,,Steeltoehammer,Veteran,Lightning,Electric Mayhem,Lunar,45.6,720,49,0.530,0.551,27,22,16289,8460,7829,27,24,68,116,23.3%,343.7,178.5,165.2,0.57,0.51,1.43,2.45,332.4,172.7,159.8,0.55,0.49,1.39,2.37,105,97,2.22,2.05,2.14,1.98
,,,Spurilly,Veteran,Centaurs,The Forest,Lunar,45.6,308,20,0.299,0.300,6,14,6631,3590,3041,11,14,26,49,22.4%,327.1,177.1,150.0,0.54,0.69,1.28,2.42,331.6,179.5,152.1,0.55,0.70,1.30,2.45,32,56,1.58,2.76,1.60,2.80
,,,Dovahkiin,Veteran,Gorillas,The Jungle,Solar,45.5,598,38,0.541,0.553,21,17,13247,7880,5367,36,18,46,108,33.3%,336.5,200.2,136.3,0.91,0.46,1.17,2.74,348.6,207.4,141.2,0.95,0.47,1.21,2.84,100,90,2.54,2.29,2.63,2.37
