RSC ID,Player Name,Franchise,Team,Base MMR,Current MMR,Contract Status,Contract Length,Waiver End,Tier,Captain
RSC006928,Thunderbolt,Buggin Out,Scarabs,1295,1295,Rostered,2,,Challenger,TRUE
RSC000938,Nukem_IV,Buggin Out,Scarabs,1240,1240,Rostered,2,,Challenger,FALSE
RSC008237,SardonicOx,Buggin Out,Roly Polies,1205,1205,Rostered,2,,Prospect,FALSE
RSC003109,Kflip11,Buggin Out,Roly Polies,1190,1190,Rostered,2,,Prospect,TRUE
RSC006658,MrSilent_714,Buggin Out,Roly Polies,1140,1140,Rostered,2,,Prospect,FALSE
RSC000962,pythagorjags,Buggin Out,Roly Polies,1105,1105,Rostered,1,,Prospect,FALSE
RSC013486,DadOf5BoyZ,Buggin Out,Caterpillars,1095,1095,Rostered,2,,Contender,FALSE
RSC002796,Carno,Buggin Out,Caterpillars,1070,1070,Rostered,2,,Contender,TRUE
RSC013854,Magicmike2433,Buggin Out,Caterpillars,1020,1020,Rostered,2,,Contender,FALSE
RSC013527,Oh_Wentzy,Buggin Out,Caterpillars,935,935,Rostered,2,,Contender,FALSE
RSC012722,Savant Cyclops,Buggin Out,Stick Bugs,925,925,Rostered,2,,Amateur,FALSE
RSC007921,sXCyBeast,Buggin Out,Stick Bugs,875,875,Rostered,2,,Amateur,TRUE
RSC008489,nacho_nachos2,Buggin Out,Stick Bugs,820,820,Rostered,2,,Amateur,FALSE
RSC014210,FGTN-SlayCon,Buggin Out,Stick Bugs,520,520,Rostered,2,,Amateur,FALSE
RSC014145,a7md (Free Palestine),D20,Goliaths,1635,1635,Rostered,2,,Elite,TRUE
RSC013021,Trvyn,D20,Goliaths,1620,1620,Rostered,2,,Elite,FALSE
RSC007033,Burnset,D20,Goliaths,1560,1560,Rostered,2,,Elite,FALSE
RSC000551,Millk_Kup,D20,Goliaths,1545,1545,Rostered,2,,Elite,FALSE
RSC008508,Flame_RL10,D20,Dragonborn,1515,1515,Rostered,1,,Veteran,FALSE
RSC013487,SU Magic7414,D20,Dragonborn,1485,1485,Rostered,2,2026-05-31T12:00:00-04:00,Veteran,FALSE
RSC008442,Billionninja,D20,Dragonborn,1460,1460,Rostered,2,,Veteran,TRUE
RSC000960,Catlas,D20,Dragonborn,1445,1445,Rostered,2,,Veteran,FALSE
RSC013864,Strages,D20,Genasi,1435,1435,Rostered,2,,Rival,FALSE
RSC013893,Chiharu6503,D20,Genasi,1365,1365,Rostered,2,,Rival,FALSE
RSC000182,Goose,D20,Genasi,1360,1360,Rostered,2,,Rival,TRUE
RSC012692,AraticRL.,D20,Genasi,1360,1360,Rostered,2,,Rival,FALSE
RSC002320,JoeExotic,D20,Aasimar,1335,1335,Rostered,2,,Challenger,TRUE
RSC013984,Yomilo67,D20,Aasimar,1275,1275,Rostered,2,,Challenger,FALSE
RSC000053,its_lost,D20,Aasimar,1260,1260,Rostered,1,,Challenger,FALSE
RSC013969,yk lucky fr,D20,Aasimar,1260,1260,Rostered,2,,Challenger,FALSE
RSC012678,mel,D20,Aetherborn,1200,1200,Rostered,2,,Prospect,TRUE
RSC013334,grand.slamdalf,D20,Aetherborn,1180,1180,Rostered,2,,Prospect,FALSE
RSC003771,ThatHomieGage,D20,Aetherborn,1170,1170,Rostered,2,,Prospect,FALSE
RSC005608,wolverine36535,D20,Aetherborn,1100,1100,Rostered,2,,Prospect,FALSE
RSC013992,P0lyph3m0us,D20,Eladrin,1090,1090,Rostered,2,,Contender,FALSE
RSC013277,IrisReasoning,D20,Eladrin,1040,1040,Rostered,2,,Contender,FALSE
RSC008348,Shadows_ss,D20,Eladrin,1020,1020,Rostered,2,,Contender,TRUE
RSC013580,Mortal Frenzy,D20,Eladrin,985,985,Rostered,2,,Contender,FALSE
RSC012351,ShadowLightnin9,D20,Gnomes,870,870,Rostered,2,,Amateur,FALSE
RSC003545,Grumpy Mittens,D20,Gnomes,855,855,Rostered,2,,Amateur,FALSE
RSC012871,FUU.EGO,D20,Gnomes,785,785,Rostered,2,,Amateur,TRUE
RSC013961,Zonie789,D20,Gnomes,660,660,Rostered,2,,Amateur,FALSE
RSC001605,Reeves,Dwarf Haven,Long Beards,1890,1890,Rostered,2,,Premier,FALSE
RSC003780,FusionBleach,Dwarf Haven,Long Beards,1885,1885,Rostered,2,,Premier,TRUE
RSC012969,hydrosin.,Dwarf Haven,Long Beards,1825,1825,Rostered,2,,Premier,FALSE
RSC007558,Frijole,Dwarf Haven,Long Beards,1780,1780,Rostered,2,,Premier,FALSE
RSC004918,Nezitic,Dwarf Haven,Battle Masters,1755,1755,Rostered,1,,Master,FALSE
RSC007494,C-Loupe,Dwarf Haven,Battle Masters,1735,1735,Rostered,1,,Master,FALSE
RSC007354,Fanatic,Dwarf Haven,Battle Masters,1690,1690,Rostered,1,,Master,TRUE
RSC005454,tman,Dwarf Haven,Battle Masters,1670,1670,Rostered,2,,Master,FALSE
RSC007636,Aroomba.,Dwarf Haven,Forge Defenders,1655,1655,Rostered,2,,Elite,FALSE
RSC007884,Silu.,Dwarf Haven,Forge Defenders,1630,1630,Rostered,2,,Elite,FALSE
RSC006885,bev,Dwarf Haven,Forge Defenders,1565,1565,Rostered,2,2026-05-27T12:00:00-04:00,Elite,FALSE
RSC011118,Reyes.,Dwarf Haven,Forge Defenders,1565,1565,Rostered,2,,Elite,FALSE
RSC007346,Mai,Dwarf Haven,Forge Defenders,1545,1545,Inactive Reserve,2,,Elite,TRUE
RSC007213,Py Ballwin,Dwarf Haven,Drunken Dwarfs,1525,1525,Rostered,2,,Veteran,FALSE
RSC014026,SirChaka1,Dwarf Haven,Drunken Dwarfs,1475,1475,Rostered,2,,Veteran,FALSE
RSC007459,turbidd,Dwarf Haven,Drunken Dwarfs,1470,1470,Rostered,2,,Veteran,FALSE
RSC013950,The-JDViirus,Dwarf Haven,Drunken Dwarfs,1465,1465,Rostered,2,,Veteran,TRUE
RSC008115,Glint,Dwarf Haven,Mining Legion,1440,1440,Rostered,2,,Rival,TRUE
RSC012924,Kiraw _,Dwarf Haven,Mining Legion,1385,1385,Rostered,2,,Rival,FALSE
RSC008548,Slinkxyz,Dwarf Haven,Mining Legion,1375,1375,Rostered,1,,Rival,FALSE
RSC004452,sleepzey,Dwarf Haven,Mining Legion,1350,1350,Rostered,2,2026-06-03T12:00:00-04:00,Rival,FALSE
RSC007777,elyaeri,Dwarf Haven,Gold Hoarders,1320,1320,Rostered,2,,Challenger,FALSE
RSC008507,Unc Jeebs,Dwarf Haven,Gold Hoarders,1290,1290,Rostered,2,,Challenger,FALSE
RSC005859,LedTasso,Dwarf Haven,Gold Hoarders,1250,1250,Rostered,1,,Challenger,FALSE
RSC006747,Panda,Dwarf Haven,Gold Hoarders,1240,1240,Rostered,2,,Challenger,TRUE
RSC006642,Zone Killa,Dwarf Haven,Gold Hoarders,1230,1230,AGM IR,2,,Challenger,FALSE
RSC008036,ToastyPancakes_,Dwarf Haven,Blacksmiths,1200,1200,Rostered,2,,Prospect,TRUE
RSC013252,l Yoru l,Dwarf Haven,Blacksmiths,1185,1185,Rostered,2,,Prospect,FALSE
RSC006587,Enterprise15,Dwarf Haven,Blacksmiths,1145,1145,Rostered,2,2026-06-14T12:00:00-04:00,Prospect,FALSE
RSC007376,Xcalibur9659,Dwarf Haven,Blacksmiths,1105,1105,Rostered,2,,Prospect,FALSE
RSC003193,ShiftDrink,Dwarf Haven,Fingus No Legs,1095,1095,Rostered,2,,Contender,TRUE
RSC012953,agent scarn.,Dwarf Haven,Fingus No Legs,1040,1040,Rostered,2,,Contender,FALSE
RSC012074,seandfeeney,Dwarf Haven,Fingus No Legs,1030,1030,Rostered,2,,Contender,FALSE
RSC011401,C_Sinica12,Dwarf Haven,Fingus No Legs,980,980,Rostered,2,,Contender,FALSE
RSC006417,TangentOgive,Fifty-Fifty Pizzeria,Gelato,1625,1625,Rostered,1,,Elite,FALSE
RSC012500,PixelSkills,Fifty-Fifty Pizzeria,Gelato,1620,1620,Rostered,2,,Elite,FALSE
RSC001055,Scotti,Fifty-Fifty Pizzeria,Gelato,1610,1610,Rostered,1,,Elite,TRUE
RSC000867,Ritter,Fifty-Fifty Pizzeria,Gelato,1565,1565,Rostered,2,,Elite,FALSE
RSC004165,Absolutely TOR,Fifty-Fifty Pizzeria,Cannoli,1525,1525,Rostered,1,,Veteran,TRUE
RSC004872,JustWaben,Fifty-Fifty Pizzeria,Cannoli,1505,1505,Rostered,1,,Veteran,FALSE
RSC000371,Capn' Clutch,Fifty-Fifty Pizzeria,Cannoli,1490,1490,Rostered,2,,Veteran,FALSE
RSC000926,SlmRnchr,Fifty-Fifty Pizzeria,Cannoli,1450,1450,Rostered,2,,Veteran,FALSE
RSC002231,Andrew,Fifty-Fifty Pizzeria,Hot Wings,1425,1425,Rostered,2,,Rival,FALSE
RSC013874,JimJams,Fifty-Fifty Pizzeria,Hot Wings,1395,1395,Rostered,2,,Rival,FALSE
RSC006976,slendxa,Fifty-Fifty Pizzeria,Hot Wings,1370,1370,Rostered,1,,Rival,TRUE
RSC005523,Laguna,Fifty-Fifty Pizzeria,Hot Wings,1350,1350,Rostered,1,,Rival,FALSE
RSC001893,cjax,Fifty-Fifty Pizzeria,Meat Lovers,1310,1310,Rostered,2,,Challenger,FALSE
RSC012777,Curlss-,Fifty-Fifty Pizzeria,Meat Lovers,1305,1305,Rostered,1,,Challenger,FALSE
RSC007284,7aco104,Fifty-Fifty Pizzeria,Meat Lovers,1295,1295,Rostered,1,,Challenger,TRUE
RSC003919,thejeansman,Fifty-Fifty Pizzeria,Meat Lovers,1240,1240,Rostered,1,,Challenger,FALSE
RSC007092,Minjaaa,Fifty-Fifty Pizzeria,Hawaiian Pizza,1190,1190,Rostered,1,,Prospect,FALSE
RSC002911,Alextross,Fifty-Fifty Pizzeria,Hawaiian Pizza,1180,1180,Rostered,1,,Prospect,TRUE
RSC007431,xPotatodactylx,Fifty-Fifty Pizzeria,Hawaiian Pizza,1150,1150,Rostered,1,,Prospect,FALSE
RSC006439,S E L.,Fifty-Fifty Pizzeria,Hawaiian Pizza,1135,1135,Rostered,1,,Prospect,FALSE
RSC003223,AZoroARK,Fifty-Fifty Pizzeria,Cheese Pizza,1090,1090,Rostered,1,,Contender,FALSE
RSC007571,StephM2_,Fifty-Fifty Pizzeria,Cheese Pizza,1085,1085,Rostered,1,,Contender,TRUE
RSC012755,Jdawg118159,Fifty-Fifty Pizzeria,Cheese Pizza,995,995,Rostered,1,,Contender,FALSE
RSC013085,Jayboaah,Fifty-Fifty Pizzeria,Cheese Pizza,930,930,Rostered,1,,Contender,FALSE
RSC013229,swway.,Fifty-Fifty Pizzeria,Garlic Knots,895,895,Rostered,2,,Amateur,FALSE
RSC012719,Ryzor,Fifty-Fifty Pizzeria,Garlic Knots,880,880,Rostered,1,,Amateur,FALSE
RSC005707,BlueCrimsonJR,Fifty-Fifty Pizzeria,Garlic Knots,850,850,Rostered,2,,Amateur,TRUE
RSC010339,TwiztedDad2240,Fifty-Fifty Pizzeria,Garlic Knots,705,750,Rostered,1,,Amateur,TRUE
RSC001986,Colinn,Inconveniences,Frame Skips,1650,1650,Rostered,2,,Elite,FALSE
RSC003709,dlnaod.,Inconveniences,Frame Skips,1590,1590,Rostered,2,,Elite,FALSE
RSC007877,Torro,Inconveniences,Frame Skips,1590,1590,Rostered,2,,Elite,TRUE
RSC005201,Stonewall,Inconveniences,Frame Skips,1545,1545,Rostered,2,,Elite,FALSE
RSC002097,NoobZ,Inconveniences,Double Commit,1535,1535,Rostered,2,2026-06-14T12:00:00-04:00,Veteran,FALSE
RSC003055,Lad,Inconveniences,Double Commit,1520,1520,Rostered,2,,Veteran,TRUE
RSC013526,Burrito,Inconveniences,Double Commit,1465,1465,Rostered,2,,Veteran,FALSE
RSC001321,HannandGrenade,Inconveniences,Double Commit,1445,1445,Rostered,2,,Veteran,FALSE
RSC006209,Celiscy,Inconveniences,Demo Chasers,1410,1410,Rostered,2,2026-06-07T12:00:00-04:00,Rival,FALSE
RSC002453,Ghostie,Inconveniences,Demo Chasers,1380,1380,Rostered,2,,Rival,TRUE
RSC001358,Cob,Inconveniences,Demo Chasers,1355,1355,Rostered,2,2026-06-03T12:00:00-04:00,Rival,FALSE
RSC007406,junior1000gsxr,Inconveniences,Demo Chasers,1355,1355,Rostered,2,,Rival,FALSE
RSC000136,Blun,Inconveniences,Boost Steal,1330,1330,Rostered,1,,Challenger,FALSE
RSC004670,CarnageWolfBite,Inconveniences,Boost Steal,1310,1310,Inactive Reserve,1,,Challenger,FALSE
RSC013047,.Desty,Inconveniences,Boost Steal,1295,1295,Rostered,1,,Challenger,FALSE
RSC005430,Schmeemeet,Inconveniences,Boost Steal,1290,1290,Rostered,1,,Challenger,FALSE
RSC006820,Zainnox.,Inconveniences,Boost Steal,1225,1225,Rostered,2,,Challenger,FALSE
RSC001995,Tvveedle,Inconveniences,Back Flips,1220,1220,Rostered,2,,Prospect,FALSE
RSC012297,le1anonly1,Inconveniences,Back Flips,1195,1195,Inactive Reserve,1,,Prospect,FALSE
RSC013463,g00f.,Inconveniences,Back Flips,1195,1195,Rostered,2,,Prospect,FALSE
RSC006262,Illusionchaos,Inconveniences,Back Flips,1130,1130,Rostered,1,,Prospect,TRUE
RSC001820,YourEvilTwin,Inconveniences,Back Flips,1105,1105,Rostered,1,,Prospect,FALSE
RSC008218,Korrello,Inconveniences,Whiff Shots,1095,1095,Rostered,2,,Contender,TRUE
RSC008332,QuaviusProd,Inconveniences,Whiff Shots,1045,1045,Rostered,1,,Contender,FALSE
RSC008470,ReaperXD97,Inconveniences,Whiff Shots,1025,1025,Rostered,2,,Contender,FALSE
RSC007119,EvilSuperman_,Inconveniences,Whiff Shots,940,940,Rostered,2,,Contender,FALSE
RSC006364,Larr1e,Inconveniences,Ball Chasers,915,915,Rostered,2,,Amateur,FALSE
RSC012720,ienvy murph,Inconveniences,Ball Chasers,890,890,Rostered,2,,Amateur,TRUE
RSC006137,FULLBL00DN8V,Inconveniences,Ball Chasers,850,850,Rostered,2,,Amateur,FALSE
RSC013706,Quagsire.,Inconveniences,Ball Chasers,670,750,Rostered,2,,Amateur,FALSE
RSC006719,pman,Mach Velocity,Valkyries,1905,1905,Rostered,2,,Premier,FALSE
RSC014111,DerpyAF,Mach Velocity,Valkyries,1850,1850,Rostered,2,,Premier,FALSE
RSC002125,Neoblastz,Mach Velocity,Valkyries,1835,1835,Rostered,2,,Premier,TRUE
RSC000381,Noriko,Mach Velocity,Valkyries,1820,1820,Rostered,2,,Premier,FALSE
RSC008169,Trickter02,Mach Velocity,Blackbirds,1770,1770,Rostered,1,,Master,FALSE
RSC007280,BallChasinq,Mach Velocity,Blackbirds,1710,1710,Rostered,2,,Master,FALSE
RSC007295,TheLegendaryChance,Mach Velocity,Blackbirds,1700,1700,Rostered,1,,Master,TRUE
RSC007115,Zoomin,Mach Velocity,Blackbirds,1635,1675,Rostered,1,,Master,FALSE
RSC006273,chawes.,Mach Velocity,Raptors,1645,1645,Rostered,1,,Elite,TRUE
RSC008330,Jammin,Mach Velocity,Raptors,1620,1620,Rostered,2,2026-06-07T12:00:00-04:00,Elite,FALSE
RSC002892,nickm,Mach Velocity,Raptors,1610,1610,Rostered,1,,Elite,FALSE
RSC000923,Stemantics,Mach Velocity,Raptors,1540,1540,Rostered,2,,Elite,FALSE
RSC007607,GameGang,Mach Velocity,Nighthawks,1505,1505,Rostered,2,,Veteran,FALSE
RSC007341,Squashy,Mach Velocity,Nighthawks,1495,1495,Rostered,1,,Veteran,FALSE
RSC007660,Shraxl,Mach Velocity,Nighthawks,1495,1495,Rostered,2,,Veteran,TRUE
RSC008170,Hypernova,Mach Velocity,Nighthawks,1465,1465,Rostered,2,,Veteran,FALSE
RSC012558,EthanAll01,Mach Velocity,Lightning,1435,1435,Rostered,2,,Rival,FALSE
RSC008000,ChefHoffy,Mach Velocity,Lightning,1390,1390,Rostered,2,,Rival,TRUE
RSC000140,Kaeso Clarus,Mach Velocity,Lightning,1370,1370,Rostered,1,,Rival,FALSE
RSC000848,WittingHalo64,Mach Velocity,Lightning,1350,1350,Rostered,2,,Rival,FALSE
RSC005253,dinnindu,Mach Velocity,Warthogs,1315,1315,Rostered,1,,Challenger,FALSE
RSC014168,Dizzieisbae,Mach Velocity,Warthogs,1260,1260,Rostered,2,,Challenger,FALSE
RSC009847,XGC Papercut,Mach Velocity,Warthogs,1255,1255,Rostered,2,,Challenger,FALSE
RSC003118,Mysty,Mach Velocity,Warthogs,1250,1250,Rostered,2,,Challenger,TRUE
RSC004866,zl Mango lz,Mach Velocity,Tomcats,1195,1195,Rostered,2,,Prospect,FALSE
RSC007657,Zenzen0607,Mach Velocity,Tomcats,1165,1165,Rostered,2,,Prospect,FALSE
RSC008365,ZonaHOMI,Mach Velocity,Tomcats,1165,1165,Rostered,1,,Prospect,TRUE
RSC013991,Ditto -_-,Mach Velocity,Tomcats,1140,1140,Rostered,2,,Prospect,FALSE
RSC013275,virchowtriad,Mach Velocity,Mustangs,1095,1095,Rostered,2,,Contender,FALSE
RSC006461,Cynical89,Mach Velocity,Mustangs,1050,1050,Rostered,1,,Contender,TRUE
RSC005550,Shraggaholic,Mach Velocity,Mustangs,1020,1020,Rostered,2,,Contender,FALSE
RSC009317,Gaymer_Jess207,Mach Velocity,Mustangs,980,980,Rostered,2,,Contender,FALSE
RSC007641,kaden,Minty Fresh,Double Mint,1865,1865,Rostered,2,,Premier,FALSE
RSC000579,crypt_rl,Minty Fresh,Double Mint,1860,1860,Rostered,1,,Premier,TRUE
RSC000278,Tinsel,Minty Fresh,Double Mint,1500,1815,Renewed,1,,Premier,FALSE
RSC006952,nave,Minty Fresh,Double Mint,1815,1815,Rostered,2,,Premier,FALSE
RSC005024,SSpekky,Minty Fresh,Glacier Mint,1770,1770,Rostered,2,,Master,FALSE
RSC004698,Slvr.,Minty Fresh,Glacier Mint,1710,1710,Rostered,2,,Master,FALSE
RSC000799,Foam,Minty Fresh,Glacier Mint,1685,1685,Rostered,2,,Master,FALSE
RSC000009,Timbo,Minty Fresh,Glacier Mint,1680,1680,Rostered,1,,Master,TRUE
RSC002161,TheAngryTryhard,Minty Fresh,Menthol,1620,1620,Rostered,2,2026-06-14T12:00:00-04:00,Elite,FALSE
RSC001199,Classy,Minty Fresh,Menthol,1605,1605,Rostered,2,,Elite,TRUE
RSC012908,Yovanny,Minty Fresh,Menthol,1585,1585,Rostered,2,,Elite,FALSE
RSC008955,Ivellios,Minty Fresh,Menthol,1550,1550,Rostered,2,,Elite,FALSE
RSC000626,Canadian Things,Minty Fresh,Peppermint,1500,1500,Rostered,1,,Veteran,TRUE
RSC005543,Null.Gamer,Minty Fresh,Peppermint,1500,1500,Rostered,2,,Veteran,FALSE
RSC002295,DEMOralize,Minty Fresh,Peppermint,1490,1490,Rostered,2,2026-06-03T12:00:00-04:00,Veteran,FALSE
RSC014093,Akuma,Minty Fresh,Peppermint,1465,1465,Rostered,2,,Veteran,FALSE
RSC013993,Idol,Minty Fresh,Polar Ice,1430,1430,Rostered,2,,Rival,FALSE
RSC006167,MagesticEagle1,Minty Fresh,Polar Ice,1395,1395,Rostered,1,,Rival,TRUE
RSC006643,Napkhan,Minty Fresh,Polar Ice,1355,1355,Rostered,2,,Rival,FALSE
RSC002128,Velo,Minty Fresh,Polar Ice,1340,1340,Rostered,1,,Rival,FALSE
RSC008592,Rezcoh,Minty Fresh,Spearmint,1330,1330,Rostered,2,,Challenger,FALSE
RSC004875,ProdiJoe,Minty Fresh,Spearmint,1320,1320,Rostered,2,,Challenger,FALSE
RSC005059,TechFour,Minty Fresh,Spearmint,1250,1250,Rostered,1,,Challenger,FALSE
RSC006322,Lorak,Minty Fresh,Spearmint,1230,1230,Rostered,1,,Challenger,TRUE
RSC014201,ABOU ALI,Minty Fresh,Tic Tacs,1205,1205,Rostered,2,,Prospect,FALSE
RSC007520,Blitzzzzz.,Minty Fresh,Tic Tacs,1150,1150,Rostered,2,,Prospect,TRUE
RSC008431,Wildragon112,Minty Fresh,Tic Tacs,1135,1135,Rostered,2,,Prospect,FALSE
RSC014077,Deby,Minty Fresh,Tic Tacs,1130,1130,Rostered,2,,Prospect,FALSE
RSC000259,Oni.,Mythical,Leviathans,1880,1880,Rostered,2,,Premier,TRUE
RSC000672,JK,Mythical,Leviathans,1845,1845,Rostered,2,,Premier,FALSE
RSC006889,Jay,Mythical,Leviathans,1840,1840,Rostered,2,,Premier,FALSE
RSC014135,beryy,Mythical,Leviathans,1840,1840,Rostered,2,,Premier,FALSE
RSC004955,Rafiki,Mythical,Reapers,1715,1715,Rostered,2,,Master,FALSE
RSC007895,Lup,Mythical,Reapers,1715,1715,Rostered,1,,Master,TRUE
RSC008198,Taiyo,Mythical,Reapers,1705,1705,Rostered,2,,Master,FALSE
RSC014006,DeltaJRomeo_,Mythical,Reapers,1685,1685,Rostered,2,,Master,FALSE
RSC004662,Dmxtt.,Mythical,Basilisks,1635,1635,Rostered,2,,Elite,FALSE
RSC008309,majical,Mythical,Basilisks,1630,1630,Rostered,2,,Elite,FALSE
RSC004109,Hawkish,Mythical,Basilisks,1590,1590,Rostered,1,,Elite,FALSE
RSC005831,Bladedraptor,Mythical,Basilisks,1550,1550,Rostered,2,,Elite,TRUE
RSC000314,Yoza,Mythical,Werewolves,1510,1510,Rostered,1,,Veteran,FALSE
RSC006700,Terx,Mythical,Werewolves,1490,1490,Rostered,2,,Veteran,FALSE
RSC006654,Chicken,Mythical,Werewolves,1465,1465,Rostered,2,,Veteran,FALSE
RSC007582,Wavy,Mythical,Werewolves,1450,1450,Rostered,1,,Veteran,TRUE
RSC003228,phyzixs.,Mythical,Dracos,1415,1415,Rostered,1,,Rival,FALSE
RSC007294,CF0UR_,Mythical,Dracos,1380,1380,Rostered,2,,Rival,TRUE
RSC008234,Its_Bran,Mythical,Dracos,1365,1365,Rostered,1,,Rival,FALSE
RSC003255,cozyboy,Mythical,Dracos,1355,1355,Rostered,1,,Rival,FALSE
RSC002049,stuckonthex,Mythical,Hydras,1295,1295,Rostered,2,,Challenger,FALSE
RSC014103,Reapdemon,Mythical,Hydras,1255,1255,Rostered,2,,Challenger,FALSE
RSC000233,LilPrsnWithAnger,Mythical,Hydras,1245,1245,Rostered,1,,Challenger,TRUE
RSC006835,xTapsol,Mythical,Hydras,1235,1235,Rostered,2,,Challenger,FALSE
RSC000656,Squeeezi,Mythical,Fairies,1220,1220,Rostered,1,,Prospect,FALSE
RSC012671,Goofball.-.,Mythical,Fairies,1155,1155,Rostered,1,,Prospect,TRUE
RSC008579,Giraffahuff,Mythical,Fairies,1135,1135,Rostered,2,,Prospect,FALSE
RSC008188,SludgeMixFuzz,Mythical,Fairies,1120,1120,Rostered,2,,Prospect,FALSE
RSC013793,mmmmgoodtoastRLL,Mythical,Sirens,1080,1080,Rostered,2,,Contender,FALSE
RSC005252,MysticMax07,Mythical,Sirens,1050,1050,Rostered,1,,Contender,FALSE
RSC008501,Netoven1,Mythical,Sirens,1015,1015,Rostered,1,,Contender,FALSE
RSC003153,Theman,Mythical,Sirens,990,990,Rostered,1,,Contender,TRUE
RSC002714,Nika,Pawverse,Cerberus,1865,1865,Rostered,2,,Premier,FALSE
RSC001977,T.,Pawverse,Cerberus,1860,1860,Rostered,2,2026-06-17T12:00:00-04:00,Premier,FALSE
RSC004580,Static,Pawverse,Cerberus,1810,1810,Rostered,2,,Premier,TRUE
RSC005524,RaunchyRomanian,Pawverse,Cerberus,1795,1795,Rostered,2,,Premier,FALSE
RSC006409,Reported.,Pawverse,Air Buds,1730,1730,Rostered,2,,Master,FALSE
RSC007984,Chadley,Pawverse,Air Buds,1715,1715,Rostered,1,,Master,FALSE
RSC007709,Killua wya,Pawverse,Air Buds,1660,1660,Rostered,1,,Master,FALSE
