Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,GP,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,PPG,GPG,APG,SvPG,ShPG
Challenger,,XxXGu5XxX,Swabbies,Tortuga,Lunar,N/A,46.48,26,0.577,15,11,1,4135,3130,1005,13,11,16,48,0.277,159.04,0.50,0.42,0.58,1.81
Challenger,RSC003596,FusiveR,TI-Nspire,Totally Calculated,Solar,N/A,9.05,20,0.3,6,14,0,1720,1340,380,4,3,13,14,0.286,86.00,0.20,0.15,0.65,0.70
Challenger,RSC001392,JohnWilkesBoost,TI-Nspire,Totally Calculated,Solar,N/A,58.09,40,0.475,19,21,7,8420,6390,2030,24,17,47,79,0.304,210.50,0.60,0.43,1.18,1.98
Challenger,,WrathofMcgrath,TI-Nspire,Totally Calculated,Solar,N/A,43.6,38,0.474,18,20,4,5850,5120,730,19,16,35,67,0.273,153.95,0.47,0.40,0.92,1.74
Challenger,RSC001493,monomax,TI-Nspire,Totally Calculated,Solar,N/A,75.48,38,0.605,23,15,10,8415,7790,625,42,16,36,99,0.424,221.45,1.11,0.42,0.95,2.61
Challenger,,Contagious_Tom-,Tens,House of Cards,Lunar,N/A,39.17,47,0.426,20,27,6,7590,6200,1390,30,8,40,80,0.375,161.49,0.64,0.15,0.85,1.70
Challenger,RSC001842,DGallub,Tens,House of Cards,Lunar,N/A,70.61,39,0.564,22,17,13,9236,7360,1876,33,16,46,96,0.337,236.80,0.82,0.41,1.15,2.44
Challenger,,Laprius_,Tens,House of Cards,Lunar,N/A,27.85,19,0.263,5,14,0,2445,1990,455,7,10,12,19,0.368,128.68,0.37,0.47,0.58,1.00
Challenger,RSC003673,Squanto,Tens,House of Cards,Lunar,N/A,57.56,43,0.512,22,21,4,7705,6750,955,24,23,43,105,0.231,179.19,0.56,0.51,0.98,2.42
Challenger,RSC002750,Connor,Tropical Storms,The Storm,Solar,N/A,98.28,40,0.7,28,12,12,10535,9730,805,59,24,27,128,0.461,263.38,1.48,0.60,0.68,3.20
Challenger,RSC000524,Low Gravitas,Tropical Storms,The Storm,Solar,N/A,39.33,37,0.486,18,19,0,5150,4400,750,16,17,29,50,0.320,139.19,0.43,0.46,0.76,1.35
Challenger,,Zacer,Tropical Storms,The Storm,Solar,N/A,52.79,31,0.548,17,14,3,5415,4890,525,21,15,32,44,0.477,174.68,0.68,0.45,1.03,1.42
Challenger,RSC000025,slayerof666,Tropical Storms,The Storm,Solar,N/A,87.8,47,0.574,27,20,15,11860,10110,1750,40,40,56,131,0.305,252.34,0.85,0.83,1.19,2.79
Premier,RSC000269,Apocalypse,Aces,House of Cards,Lunar,N/A,63.49,32,0.562,18,14,11,8336,6750,1586,33,16,36,85,0.388,260.47,1.03,0.47,1.09,2.66
Premier,RSC000425,El Diablo Rojo,Aces,House of Cards,Lunar,N/A,50.76,53,0.472,25,28,9,12066,9820,2246,33,35,72,117,0.276,227.64,0.60,0.66,1.34,2.19
Premier,RSC003640,RickayyOG,Aces,House of Cards,Lunar,N/A,37.6,31,0.452,14,17,4,6290,4910,1380,23,12,29,56,0.393,202.90,0.71,0.36,0.94,1.81
Premier,RSC001719,Sugar,Aces,House of Cards,Lunar,N/A,44.14,59,0.492,29,30,6,13035,9730,3305,36,26,71,128,0.281,220.93,0.61,0.42,1.20,2.17
Premier,RSC001086,2% Mike,Assassins,The Ninja Academy,Solar,N/A,49.21,37,0.649,24,13,4,7675,6570,1105,22,22,49,82,0.256,207.43,0.57,0.57,1.32,2.22
Premier,RSC001534,NoxPhoenix,Assassins,The Ninja Academy,Solar,N/A,40.73,8,0.125,1,7,1,1670,1460,210,5,4,11,21,0.238,208.75,0.63,0.50,1.38,2.63
Premier,RSC000342,Ryzai,Assassins,The Ninja Academy,Solar,N/A,62.15,27,0.37,10,17,9,7281,5620,1661,27,17,27,72,0.380,269.63,1.00,0.59,1.00,2.63
Premier,RSC000562,Whiffles,Assassins,The Ninja Academy,Solar,N/A,21.63,20,0.1,2,18,0,3690,2990,700,9,5,30,34,0.265,184.50,0.45,0.25,1.50,1.70
Premier,RSC003617,Deztination,Cobras,The Snake Pit,Solar,N/A,58.95,60,0.483,29,31,10,14996,12980,2016,50,29,99,158,0.318,249.92,0.83,0.48,1.65,2.62
Premier,RSC003630,Fredrick,Cobras,The Snake Pit,Solar,N/A,66.06,58,0.466,27,31,14,14691,11840,2851,51,50,53,159,0.321,253.28,0.88,0.86,0.90,2.74
Premier,RSC001849,Tamil Camel,Cobras,The Snake Pit,Solar,N/A,34.5,32,0.5,16,16,1,5185,4340,845,17,20,20,64,0.266,162.03,0.53,0.59,0.63,2.00
Premier,RSC001460,luckytaurus,Cobras,The Snake Pit,Solar,N/A,50.6,30,0.5,15,15,4,6786,5410,1376,25,12,30,81,0.312,226.17,0.83,0.37,0.97,2.67
Premier,RSC003652,BestPayload,FA,Free Agent,N/A,N/A,25.85,12,0.083,1,11,1,2175,2220,-45,12,1,15,22,0.500,181.25,0.92,0.08,1.25,1.83
Premier,,ChoxRL,FA,Free Agent,N/A,N/A,100.01,26,0.615,16,10,14,9406,7550,1856,37,14,42,105,0.352,361.73,1.42,0.54,1.58,4.04
Premier,RSC000121,Cineo,FA,Free Agent,N/A,N/A,17.78,11,0.455,5,6,0,1491,1150,341,4,5,6,20,0.150,135.46,0.27,0.36,0.55,1.82
Premier,,Erebus,FA,Free Agent,N/A,N/A,15.15,4,0.25,1,3,0,630,420,210,1,1,4,7,0.143,157.50,0.25,0.25,1.00,1.75
Premier,,JoeLethal,FA,Free Agent,N/A,N/A,-4.44,8,0.125,1,7,0,1005,590,415,1,0,8,9,0.111,125.63,0.13,0.00,1.00,1.13
Premier,RSC001500,Mr_Lovette,FA,Free Agent,N/A,N/A,40.48,40,0.425,17,23,3,7985,6480,1505,20,19,52,93,0.215,199.63,0.50,0.48,1.30,2.33
Premier,,Outlaw,FA,Free Agent,N/A,N/A,4.38,4,0,0,4,0,600,450,150,2,0,4,5,0.400,150.00,0.50,0.00,1.00,1.25
Premier,RSC003635,Poseidon,FA,Free Agent,N/A,N/A,104.14,4,0.75,3,1,3,1320,1100,220,4,5,6,15,0.267,330.00,1.00,1.25,1.50,3.75
Premier,RSC003627,RicoRound,FA,Free Agent,N/A,N/A,25.98,8,0.375,3,5,0,1325,1300,25,2,4,16,10,0.200,165.63,0.25,0.50,2.00,1.25
Premier,,RiseN,FA,Free Agent,N/A,N/A,11.83,4,0,0,4,0,585,300,285,0,2,2,10,0.000,146.25,0.00,0.50,0.50,2.50
Premier,,Slaneyyy,FA,Free Agent,N/A,N/A,14.62,4,0,0,4,0,565,550,15,2,2,4,5,0.400,141.25,0.50,0.50,1.00,1.25
Premier,,Sway,FA,Free Agent,N/A,N/A,43.29,4,0.5,2,2,0,875,590,285,2,2,4,9,0.222,218.75,0.50,0.50,1.00,2.25
Premier,,Thumb-Bump,FA,Free Agent,N/A,N/A,72.16,3,0.333,1,2,1,876,720,156,4,1,3,12,0.364,291.67,1.33,0.33,1.00,3.67
Premier,RSC001748,Tiamat,FA,Free Agent,N/A,N/A,47,18,0.333,6,12,1,3890,3120,770,11,11,20,47,0.234,216.11,0.61,0.61,1.11,2.61
Premier,,USC | Fikison,FA,Free Agent,N/A,N/A,19.34,15,0.2,3,12,1,2396,1830,566,5,8,14,23,0.174,159.67,0.27,0.53,0.93,1.53
Premier,,jmonta22,FA,Free Agent,N/A,N/A,17.8,16,0.125,2,14,0,2785,2290,495,6,4,25,24,0.261,174.06,0.38,0.25,1.56,1.44
Premier,RSC001466,manicmarshmello,FA,Free Agent,N/A,N/A,24.09,20,0.3,6,14,0,3400,2490,910,5,10,23,34,0.147,170.00,0.25,0.50,1.15,1.70
Premier,,tucktruck08,FA,Free Agent,N/A,N/A,51.99,39,0.513,20,19,9,9036,7510,1526,24,21,63,91,0.264,231.67,0.62,0.54,1.59,2.33
Premier,RSC003645,Jonny,Fates,"F Words for 200, Alex",Solar,N/A,76.33,56,0.75,42,14,17,15691,13570,2121,58,33,91,157,0.365,280.18,1.02,0.59,1.63,2.79
Premier,RSC002888,Kri0s,Fates,"F Words for 200, Alex",Solar,N/A,82.83,56,0.75,42,14,18,16280,14880,1400,68,44,91,133,0.511,290.71,1.21,0.77,1.63,2.38
Premier,RSC000688,Natty,Fates,"F Words for 200, Alex",Solar,N/A,68.17,24,0.792,19,5,3,5730,4810,920,23,17,20,66,0.333,238.75,0.92,0.71,0.83,2.75
Premier,RSC001797,wayprotein,Fates,"F Words for 200, Alex",Solar,N/A,69.48,49,0.571,28,21,6,11920,10200,1720,40,49,47,140,0.288,243.27,0.82,0.98,0.96,2.84
Premier,RSC000336,Bismarck,Hurricanes,The Storm,Solar,N/A,80.17,56,0.679,38,18,16,15645,12590,3055,53,58,56,159,0.327,279.38,0.93,1.02,1.00,2.84
Premier,RSC003610,Dred,Hurricanes,The Storm,Solar,N/A,49.73,20,0.65,13,7,1,3800,3300,500,12,15,18,45,0.267,190.00,0.60,0.75,0.90,2.25
Premier,RSC000193,Shamu,Hurricanes,The Storm,Solar,N/A,58.58,52,0.635,33,19,10,12056,9750,2306,39,36,56,125,0.314,231.83,0.75,0.69,1.06,2.39
Premier,RSC001725,Swoops,Hurricanes,The Storm,Solar,N/A,68.53,64,0.656,42,22,15,16476,13240,3236,68,34,55,199,0.338,257.42,1.05,0.52,0.86,3.09
Premier,RSC002407,Envy,Hydras,πολύ κεφάλη,Lunar,N/A,49.86,59,0.525,31,28,10,13010,10320,2690,38,34,69,137,0.277,220.51,0.64,0.58,1.15,2.32
Premier,RSC000082,Memlo,Hydras,πολύ κεφάλη,Lunar,N/A,52.09,45,0.556,25,20,4,9365,8010,1355,32,26,45,126,0.256,208.11,0.71,0.56,0.98,2.78
Premier,RSC001606,Relic,Hydras,πολύ κεφάλη,Lunar,N/A,27.74,30,0.5,15,15,3,5271,3740,1531,18,7,21,54,0.315,175.67,0.57,0.23,0.67,1.80
Premier,,hrowxn,Hydras,πολύ κεφάλη,Lunar,N/A,36.77,40,0.35,14,26,4,8280,6430,1850,18,22,57,68,0.265,207.00,0.45,0.55,1.43,1.70
Premier,,Anubis,Knights,The Sovereign,Lunar,N/A,55.4,42,0.571,24,18,8,9590,7700,1890,38,21,35,110,0.336,228.33,0.88,0.50,0.83,2.62
Premier,,Nebula,Knights,The Sovereign,Lunar,N/A,61.21,26,0.731,19,7,3,5695,5230,465,20,24,31,48,0.417,219.04,0.77,0.92,1.15,1.85
Premier,RSC001579,Premium Manatee,Knights,The Sovereign,Lunar,N/A,68.98,60,0.633,38,22,10,15510,12540,2970,54,41,66,179,0.303,258.50,0.90,0.67,1.10,2.97
Premier,RSC000231,Sponge,Knights,The Sovereign,Lunar,N/A,81.81,48,0.667,32,16,18,14415,11470,2945,58,34,51,142,0.404,300.31,1.19,0.71,1.06,2.94
Premier,,Aech,Olympians,The Acropolis,Solar,N/A,75.13,49,0.653,32,17,21,14210,11650,2560,59,20,64,155,0.374,290.00,1.18,0.39,1.29,3.16
Premier,RSC001214,Corrupt,Olympians,The Acropolis,Solar,N/A,27.73,8,0.75,6,2,0,1360,910,450,3,2,8,11,0.273,170.00,0.38,0.25,1.00,1.38
Premier,RSC002110,DYP,Olympians,The Acropolis,Solar,N/A,74.14,28,0.786,22,6,6,7395,6030,1365,27,20,30,83,0.325,264.11,0.96,0.68,1.04,2.96
Premier,RSC003535,Mr. Assister,Olympians,The Acropolis,Solar,N/A,54.18,7,0.571,4,3,0,1335,1290,45,4,7,7,19,0.158,190.71,0.43,1.00,1.00,2.71
Premier,RSC003624,An Emu,Phoenix Arising,The Birdcage,Lunar,N/A,36.89,50,0.42,21,29,5,10215,8270,1945,29,16,72,97,0.299,204.30,0.58,0.32,1.44,1.94
Premier,RSC000246,DragonFire,Phoenix Arising,The Birdcage,Lunar,N/A,44.01,51,0.49,25,26,9,11816,8190,3626,30,22,61,104,0.282,231.67,0.57,0.43,1.20,2.02
Premier,RSC003559,Draxx,Phoenix Arising,The Birdcage,Lunar,N/A,24.62,40,0.375,15,25,3,6690,5410,1280,17,16,47,56,0.304,167.25,0.43,0.40,1.18,1.40
Premier,RSC003619,fishrulesoy,Phoenix Arising,The Birdcage,Lunar,N/A,58.79,44,0.5,22,22,11,10716,9590,1126,46,21,57,109,0.417,243.52,1.02,0.46,1.27,2.46
Premier,RSC000118,Classé,Privateers,Tortuga,Lunar,N/A,77.84,46,0.696,32,14,13,12775,11280,1495,56,25,59,148,0.374,277.72,1.20,0.52,1.26,3.20
Premier,RSC003546,Leveled,Privateers,Tortuga,Lunar,N/A,61.76,47,0.638,30,17,13,11990,9380,2610,39,29,58,113,0.339,255.11,0.81,0.60,1.23,2.38
Premier,RSC002924,Loosecannon33,Privateers,Tortuga,Lunar,N/A,73.63,43,0.674,29,14,9,11036,9720,1316,46,35,43,122,0.372,256.63,1.05,0.79,0.98,2.81
Premier,RSC000404,Whitebark,Privateers,Tortuga,Lunar,N/A,59.43,48,0.604,29,19,6,10906,9840,1066,40,36,60,104,0.388,227.19,0.83,0.75,1.25,2.15
Premier,,LordTachyon,Quasars,Galaxy Squad,Lunar,N/A,23.18,15,0.333,5,10,1,2310,1830,480,8,8,8,23,0.305,154.00,0.47,0.53,0.47,1.53
Premier,,MrAnderson213,Quasars,Galaxy Squad,Lunar,N/A,63.4,12,0.583,7,5,1,2886,2570,316,12,10,12,27,0.423,240.42,0.92,0.83,1.00,2.17
Premier,RSC007043,Skull,Quasars,Galaxy Squad,Lunar,N/A,75.09,18,0.5,9,9,4,5021,4740,281,27,8,22,54,0.500,278.89,1.50,0.39,1.22,3.00
Premier,,bood,Quasars,Galaxy Squad,Lunar,N/A,55.09,62,0.468,29,33,11,14230,12530,1700,49,38,84,153,0.322,229.52,0.79,0.60,1.34,2.45
Premier,RSC001590,PxlBuzzard,Rottweilers,The Great Hounds,Solar,N/A,29.28,62,0.242,15,47,5,11295,8910,2385,34,24,60,131,0.261,182.18,0.55,0.37,0.95,2.10
Premier,RSC003588,eman4ever,Rottweilers,The Great Hounds,Solar,N/A,32.84,32,0.281,9,23,3,6431,5660,771,20,8,52,66,0.288,200.94,0.59,0.22,1.59,2.06
Premier,,paddywack,Rottweilers,The Great Hounds,Solar,N/A,31.69,49,0.286,14,35,4,9685,7440,2245,20,23,67,94,0.204,197.65,0.39,0.45,1.37,1.90
Premier,,smurfy511,Rottweilers,The Great Hounds,Solar,N/A,31.74,37,0.243,9,28,2,8045,6070,1975,20,10,58,67,0.288,217.43,0.51,0.27,1.54,1.78
Premier,RSC003562,Bort,Soul,Studio City,Lunar,N/A,51.22,56,0.357,20,36,6,12491,10350,2141,39,32,65,160,0.244,223.04,0.70,0.57,1.14,2.86
Premier,RSC000149,Greenzoid,Soul,Studio City,Lunar,N/A,45.32,52,0.423,22,30,5,11385,9440,1945,35,27,71,104,0.340,218.94,0.67,0.52,1.37,1.98
Premier,,Tinkz,Soul,Studio City,Lunar,N/A,78,12,0.583,7,5,5,3876,2990,886,12,6,22,39,0.316,322.92,1.00,0.42,1.83,3.17
Premier,RSC000138,roacs,Soul,Studio City,Lunar,N/A,44.26,40,0.425,17,23,6,8255,7590,665,33,15,54,84,0.393,206.38,0.83,0.38,1.35,2.10
Premier,RSC000014,Queue,TI-84 Plus,Free Agent,N/A,N/A,43.07,12,0.417,5,7,2,2325,2020,305,7,9,12,27,0.259,193.75,0.58,0.67,0.92,2.25
Premier,RSC001325,Havs,TI-89 TItanium,Free Agent,N/A,N/A,58.86,34,0.5,17,17,8,8950,6930,2020,25,20,52,83,0.289,263.24,0.71,0.56,1.53,2.44
Premier,RSC003579,Sinis7eR,TI-89 TItanium,Free Agent,N/A,N/A,50.8,28,0.393,11,17,5,6505,5410,1095,23,13,34,76,0.293,232.32,0.79,0.43,1.18,2.68
Premier,RSC001522,Nightwolf907,TI-89 Titanium,Totally Calculated,Solar,N/A,41.75,30,0.533,16,14,5,6045,5440,605,21,9,45,64,0.328,201.50,0.70,0.27,1.50,2.13
Premier,RSC001685,snorkz,TI-89 Titanium,Totally Calculated,Solar,N/A,53.21,30,0.5,15,15,2,7195,5960,1235,18,19,51,66,0.262,239.83,0.57,0.63,1.67,2.17
Premier,RSC001172,ButterandCream,Wheelchairs,The Quad Dynasty,Solar,N/A,49.8,52,0.596,31,21,3,10841,8880,1961,27,39,62,113,0.241,208.46,0.52,0.73,1.19,2.15
Premier,RSC003639,Dopler,Wheelchairs,The Quad Dynasty,Solar,N/A,65.14,50,0.62,31,19,9,12770,9660,3110,46,34,41,131,0.351,255.40,0.92,0.68,0.82,2.62
Premier,,RVP,Wheelchairs,The Quad Dynasty,Solar,N/A,42.86,4,0.75,3,1,0,750,570,180,1,3,5,7,0.143,187.50,0.25,0.75,1.25,1.75
