Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,GP,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,PPG,GPG,APG,SvPG,ShPG
Amateur,RSC007216,ASAPxLEG,Sacrificed,Destined,N/A,N/A,13.77,45,0.244,11,34,1,8096,3810,4286,12,20,23,46,0.261,179.91,0.27,0.44,0.51,1.02
Amateur,RSC006740,HU-ALTO,Sacrificed,Destined,N/A,N/A,59.53,44,0.273,12,32,8,16228,9520,6708,49,11,57,122,0.402,368.80,1.11,0.25,1.30,2.77
Amateur,RSC007473,HeroBear_Gaymer,Sacrificed,Destined,N/A,N/A,13.9,38,0.211,8,30,2,7353,3560,3793,17,9,19,46,0.370,193.50,0.45,0.24,0.50,1.21
Amateur,RSC003175,WaterHydrates.,Sacrificed,Destined,N/A,N/A,43.97,41,0.268,11,30,3,13152,7220,5932,24,18,64,72,0.333,320.76,0.59,0.44,1.56,1.76
Amateur,RSC006784,KittyMeowMeow360,Shadows,The Monster Mash,N/A,N/A,59.3,52,0.462,24,28,11,17149,9820,7329,40,35,59,112,0.357,329.77,0.77,0.67,1.14,2.15
Amateur,RSC007325,SDMasked,Shadows,The Monster Mash,N/A,N/A,76.35,23,0.522,12,11,7,8890,5530,3360,30,12,26,63,0.476,386.48,1.30,0.52,1.13,2.74
Amateur,RSC003968,Shootzy,Shadows,The Monster Mash,N/A,N/A,34.6,44,0.477,21,23,2,10398,5700,4698,24,17,34,75,0.320,236.30,0.55,0.39,0.77,1.71
Amateur,RSC000323,Styk75,Shadows,The Monster Mash,N/A,N/A,49.86,48,0.479,23,25,6,14308,8120,6188,39,23,43,92,0.424,298.08,0.81,0.48,0.90,1.92
Amateur,RSC005527,Colossus4203316,Surprise,The Elements,N/A,N/A,57.62,55,0.364,20,35,12,19213,10810,8403,56,24,56,121,0.463,349.31,1.02,0.44,1.02,2.20
Amateur,RSC007306,DaveOnyx_87,Surprise,The Elements,N/A,N/A,9.51,17,0.294,5,12,0,2895,1430,1465,6,3,10,18,0.333,170.24,0.35,0.18,0.59,1.06
Amateur,RSC006147,Stolris,Surprise,The Elements,N/A,N/A,15.94,24,0.208,5,19,0,4628,2600,2028,15,6,11,25,0.600,192.83,0.63,0.25,0.46,1.04
Amateur,RSC007153,Washyman111670,Surprise,The Elements,N/A,N/A,46.9,44,0.386,17,27,8,14436,7450,6986,33,11,53,95,0.347,328.09,0.75,0.25,1.21,2.16
Challenger,RSC005280,Engy,Apple Associates,The Syndicate,Lunar,N/A,66.57,59,0.542,32,27,12,21299,12540,8759,55,43,69,144,0.382,361.00,0.93,0.73,1.17,2.44
Challenger,RSC001032,JmE,Apple Associates,The Syndicate,Lunar,N/A,82.98,48,0.604,29,19,10,18489,11420,7069,48,42,60,152,0.316,385.17,1.00,0.88,1.25,3.17
Challenger,RSC000025,Slayerof666,Apple Associates,The Syndicate,Lunar,N/A,62.57,55,0.527,29,26,7,18692,11420,7272,61,30,49,137,0.445,339.84,1.11,0.55,0.89,2.49
Challenger,RSC004777,prestondew00,Apple Associates,The Syndicate,Lunar,N/A,33.52,6,0.167,1,5,1,1833,980,853,4,4,6,8,0.500,305.50,0.67,0.67,1.00,1.33
Challenger,RSC005725,rwalls516r,Blacktips,Shark Attack,N/A,N/A,24.98,4,0.000,0,4,0,1094,630,464,1,3,6,8,0.125,273.50,0.25,0.75,1.50,2.00
Challenger,RSC005725,rwalls516r,Blacktips,Shark Attack,N/A,N/A,43.65,4,1.000,4,5,2,1094,1810,-716,6,4,16,21,0.286,273.50,0.25,0.75,1.50,2.00
Challenger,RSC001031,AB26Panther,Breadsticks,Fifty-Fifty Pizzeria,Lunar,N/A,39.06,49,0.408,20,29,2,14407,8200,6207,39,22,45,95,0.411,294.02,0.80,0.45,0.92,1.94
Challenger,RSC002357,Bieles,Breadsticks,Fifty-Fifty Pizzeria,Lunar,N/A,50.14,56,0.357,20,36,11,19075,10590,8485,49,25,64,124,0.395,340.61,0.88,0.45,1.14,2.21
Challenger,RSC006976,Slendda,Breadsticks,Fifty-Fifty Pizzeria,Lunar,N/A,60.33,51,0.392,20,31,8,18676,10590,8086,39,32,76,129,0.302,366.18,0.77,0.63,1.49,2.53
Challenger,RSC004940,sand D,Breadsticks,Fifty-Fifty Pizzeria,Lunar,N/A,14.52,20,0.150,3,17,0,5084,2560,2524,8,8,21,31,0.258,254.20,0.40,0.40,1.05,1.55
Challenger,RSC007323,McBaldBoy,Chromatic Chaos,Art Club,Solar,N/A,77.45,41,0.610,25,16,13,17091,9210,7881,37,26,61,116,0.319,416.83,0.90,0.63,1.49,2.83
Challenger,RSC004768,ReaperODeath,Chromatic Chaos,Art Club,Solar,N/A,55.33,60,0.500,30,30,10,20373,11550,8823,53,22,70,165,0.321,339.55,0.88,0.37,1.17,2.75
Challenger,RSC003193,ShiftDrink,Chromatic Chaos,Art Club,Solar,N/A,61.35,39,0.487,19,20,4,14312,8420,5892,33,23,62,87,0.379,366.97,0.85,0.59,1.59,2.23
Challenger,RSC006244,Whiite Bear,Chromatic Chaos,Art Club,Solar,N/A,34.45,20,0.450,9,11,2,5513,2990,2523,10,11,20,44,0.227,275.65,0.50,0.55,1.00,2.20
Challenger,RSC007092,Minjaaa,Clever Clownfish,The Reef,Lunar,N/A,25.83,34,0.265,9,25,0,9039,4880,4159,17,12,36,78,0.218,265.85,0.50,0.35,1.06,2.29
Challenger,RSC006810,SynK Reaper,Clever Clownfish,The Reef,Lunar,N/A,58.07,43,0.442,19,24,11,15400,8390,7010,38,16,51,124,0.306,358.12,0.88,0.37,1.19,2.88
Challenger,RSC007139,smurflss,Clever Clownfish,The Reef,Lunar,N/A,34.61,42,0.333,14,28,3,12530,6810,5720,23,19,54,86,0.267,298.33,0.55,0.45,1.29,2.05
Challenger,RSC007143,OmniMurders,Deceased,Destined,Solar,N/A,84.43,52,0.423,22,30,12,21564,13310,8254,57,34,83,176,0.324,414.69,1.10,0.65,1.60,3.39
Challenger,RSC006535,Westandalone0,Deceased,Destined,Solar,N/A,37.1,60,0.400,24,36,4,18302,9800,8502,30,31,81,120,0.250,305.02,0.50,0.52,1.35,2.00
Challenger,RSC007197,xMaster P,Deceased,Destined,Solar,N/A,41.22,52,0.385,20,32,7,16083,9090,6993,41,22,57,104,0.394,309.27,0.79,0.42,1.10,2.00
Challenger,RSC006475,Coyote_Scat,Decuriones,The Sovereign,Lunar,N/A,31.95,18,0.444,8,10,0,4747,2570,2177,9,9,16,42,0.214,263.67,0.50,0.50,0.89,2.33
Challenger,RSC005265,doctorprofessor_,Decuriones,The Sovereign,Lunar,N/A,59.51,55,0.673,37,18,12,18197,10420,7777,45,32,57,147,0.306,330.85,0.82,0.58,1.04,2.67
Challenger,RSC002877,robophant,Decuriones,The Sovereign,Lunar,N/A,70.46,58,0.638,37,21,16,21205,12370,8835,60,36,60,157,0.382,365.59,1.03,0.62,1.03,2.71
Challenger,RSC004059,turboalpaca,Decuriones,The Sovereign,Lunar,N/A,53.79,49,0.714,35,14,11,15647,8620,7027,43,24,40,112,0.384,319.31,0.88,0.49,0.82,2.29
Challenger,RSC006678,EyeSucka,Emperors,Monarchy,Lunar,N/A,68.92,48,0.375,18,30,10,18068,10920,7148,51,21,65,152,0.336,376.40,1.06,0.44,1.35,3.17
Challenger,RSC006322,Lorak,Emperors,Monarchy,Lunar,N/A,43.94,52,0.442,23,29,7,15716,9010,6706,30,30,65,126,0.238,302.23,0.58,0.58,1.25,2.42
Challenger,RSC006999,Prezmo_,Emperors,Monarchy,Lunar,N/A,61.72,56,0.429,24,32,8,19063,11750,7313,57,29,60,160,0.356,340.41,1.02,0.52,1.07,2.86
Challenger,RSC005018,Smitty,Emperors,Monarchy,Lunar,N/A,-11.56,5,0.200,1,4,0,963,360,603,0,1,5,6,0.000,192.60,0.00,0.20,1.00,1.20
Challenger,RSC006642,Zonekiller.,Emperors,Monarchy,Lunar,N/A,37.59,12,0.333,4,8,1,3757,2260,1497,5,7,24,21,0.238,313.08,0.42,0.58,2.00,1.75
Challenger,RSC006642,Zonekiller.,Emperors,Monarchy,Lunar,N/A,34.48,12,0.167,2,3,0,3757,650,3107,1,2,7,10,0.100,313.08,0.42,0.58,2.00,1.75
Challenger,RSC003109,Kflip11,Emus,Flightless Fowl,Lunar,N/A,72.2,59,0.644,38,21,14,21065,12730,8335,66,31,55,183,0.361,357.03,1.12,0.53,0.93,3.10
Challenger,RSC005117,NGU_IC3,Emus,Flightless Fowl,Lunar,N/A,69.08,58,0.638,37,21,12,21383,12200,9183,42,53,79,140,0.300,368.67,0.72,0.91,1.36,2.41
Challenger,RSC006369,nate,Emus,Flightless Fowl,Lunar,N/A,30.05,7,0.429,3,4,0,1947,960,987,4,4,5,11,0.364,278.14,0.57,0.57,0.71,1.57
Challenger,RSC003101,notZ0han,Emus,Flightless Fowl,Lunar,N/A,69.16,56,0.643,36,20,12,19938,11540,8398,55,38,52,154,0.357,356.02,0.98,0.68,0.93,2.75
Challenger,RSC000347,Chris.,Flailers,The Quad Dynasty,Lunar,N/A,33.56,34,0.353,12,22,2,9324,5380,3944,23,13,33,78,0.295,274.21,0.68,0.38,0.97,2.29
Challenger,RSC000111,Wheelchair {LFLegs},Flailers,The Quad Dynasty,Lunar,N/A,34.21,25,0.280,7,18,1,7745,4030,3715,13,10,34,53,0.245,309.80,0.52,0.40,1.36,2.12
Challenger,RSC000111,Wheelchair {LFLegs},Flailers,The Quad Dynasty,Lunar,N/A,29.73,25,0.040,1,3,0,7745,540,7205,1,1,7,4,0.250,309.80,0.52,0.40,1.36,2.12
Challenger,RSC006753,j.,Flailers,The Quad Dynasty,Lunar,N/A,84.11,21,0.476,10,11,2,8793,5360,3433,24,15,32,61,0.393,418.67,1.14,0.71,1.52,2.91
Challenger,RSC006212,kingtutt97,Flailers,The Quad Dynasty,Lunar,N/A,66.82,59,0.390,23,36,16,22904,13490,9414,57,26,97,164,0.348,388.20,0.97,0.44,1.64,2.78
Challenger,RSC004888,AgentAnime07,Free Agent,Free Agent,N/A,N/A,67.76,12,0.583,7,5,2,4137,2570,1567,14,7,10,32,0.438,344.75,1.17,0.58,0.83,2.67
Challenger,RSC007135,Bats,Free Agent,Free Agent,N/A,N/A,14.25,7,0.143,1,6,0,1586,680,906,1,6,3,13,0.077,226.57,0.14,0.86,0.43,1.86
Challenger,RSC003295,ConfuciusDragon,Free Agent,Free Agent,N/A,N/A,-15.31,4,0.000,0,4,0,760,250,510,0,1,3,5,0.000,190.00,0.00,0.25,0.75,1.25
Challenger,RSC006490,Dayz,Free Agent,Free Agent,N/A,N/A,58.39,31,0.484,15,16,8,11205,6160,5045,23,18,44,76,0.303,361.42,0.74,0.58,1.42,2.45
Challenger,RSC003298,EasyTactical,Free Agent,Free Agent,N/A,N/A,46.41,6,0.500,3,3,0,1857,960,897,4,3,5,16,0.250,309.50,0.67,0.50,0.83,2.67
Challenger,RSC002386,Gidderrrs,Free Agent,Free Agent,N/A,N/A,42.61,12,0.250,3,9,0,4123,2330,1793,9,4,20,23,0.391,343.58,0.75,0.33,1.67,1.92
Challenger,RSC003897,HalfieHour,Free Agent,Free Agent,N/A,N/A,47.34,4,0.500,2,2,0,1194,680,514,2,2,5,13,0.154,298.50,0.50,0.50,1.25,3.25
Challenger,RSC003897,HalfieHour,Free Agent,Free Agent,N/A,N/A,70.68,4,1.750,7,5,4,1194,2950,-1756,17,6,11,40,0.425,298.50,0.50,0.50,1.25,3.25
Challenger,RSC006031,IAmTheMostHumble,Free Agent,Free Agent,N/A,N/A,47.68,25,0.600,15,10,2,7551,4340,3211,17,16,26,54,0.315,302.04,0.68,0.64,1.04,2.16
Challenger,RSC006167,MagesticEagle1,Free Agent,Free Agent,N/A,N/A,46.74,52,0.365,19,33,6,16132,9430,6702,33,35,63,123,0.268,310.23,0.64,0.67,1.21,2.37
Challenger,RSC007096,Nando,Free Agent,Free Agent,N/A,N/A,59.26,8,0.250,2,6,2,3106,1940,1166,8,0,18,24,0.333,388.13,1.00,0.00,2.25,3.00
Challenger,RSC000938,Nukem_IV,Free Agent,Free Agent,N/A,N/A,89.05,8,0.625,5,3,1,3176,1960,1216,8,12,8,16,0.500,396.88,1.00,1.50,1.00,2.00
Challenger,RSC006944,Pr9xk,Free Agent,Free Agent,N/A,N/A,38.76,31,0.387,12,19,1,9907,5570,4337,20,13,48,52,0.385,319.58,0.65,0.42,1.55,1.68
Challenger,RSC000357,Primed,Free Agent,Free Agent,N/A,N/A,49.17,16,0.750,12,4,2,5116,2740,2376,10,8,20,34,0.294,319.75,0.63,0.50,1.25,2.13
Challenger,RSC007219,Royaliee,Free Agent,Free Agent,N/A,N/A,72.97,60,0.717,43,17,8,21233,12590,8643,51,59,60,154,0.331,353.87,0.85,0.98,1.00,2.57
Challenger,RSC002616,Ruthle,Free Agent,Free Agent,N/A,N/A,55.43,30,0.567,17,13,8,10687,5480,5207,20,16,39,73,0.274,356.23,0.67,0.53,1.30,2.43
Challenger,RSC005275,Salvation,Free Agent,Free Agent,N/A,N/A,4.32,2,0.500,1,1,0,417,180,237,1,0,1,3,0.333,208.50,0.50,0.00,0.50,1.50
Challenger,RSC005266,Skoldier,Free Agent,Free Agent,N/A,N/A,60.11,1,0.000,0,1,0,360,220,140,1,1,1,2,0.500,360.00,1.00,1.00,1.00,2.00
Challenger,RSC006635,SlenderSolder,Free Agent,Free Agent,N/A,N/A,18.11,4,0.000,0,4,0,1024,640,384,3,0,5,9,0.333,256.00,0.75,0.00,1.25,2.25
Challenger,RSC006635,SlenderSolder,Free Agent,Free Agent,N/A,N/A,55.46,4,2.000,8,6,5,1024,3720,-2696,22,4,19,37,0.595,256.00,0.75,0.00,1.25,2.25
Challenger,RSC004618,Squirrel,Free Agent,Free Agent,N/A,N/A,29.21,24,0.375,9,15,4,7036,3700,3336,14,8,30,40,0.350,293.13,0.58,0.33,1.25,1.67
Challenger,RSC007118,Vampress Maru,Free Agent,Free Agent,N/A,N/A,63.51,4,0.250,1,3,1,1532,900,632,3,3,7,10,0.300,383.00,0.75,0.75,1.75,2.50
Challenger,RSC003929,WhovianCat,Free Agent,Free Agent,N/A,N/A,18.6,4,0.750,3,1,1,952,470,482,1,1,5,7,0.143,238.00,0.25,0.25,1.25,1.75
Challenger,RSC000995,Xx_pink_man95_xX,Free Agent,Free Agent,N/A,N/A,124.08,1,1.000,1,0,1,554,350,204,1,2,3,0,0.000,554.00,1.00,2.00,3.00,0.00
Challenger,RSC005219,iargue,Free Agent,Free Agent,N/A,N/A,-2.42,12,0.250,3,9,0,2404,1340,1064,3,2,16,14,0.214,200.33,0.25,0.17,1.33,1.17
Challenger,RSC007362,imskrewed,Free Agent,Free Agent,N/A,N/A,-10.98,4,0.500,2,2,0,682,260,422,0,2,3,1,0.000,170.50,0.00,0.50,0.75,0.25
Challenger,RSC005816,lXploitl,Free Agent,Free Agent,N/A,N/A,54.13,3,0.333,1,2,0,1069,580,489,4,0,2,8,0.500,356.33,1.33,0.00,0.67,2.67
Challenger,RSC007373,pug,Free Agent,Free Agent,N/A,N/A,75.65,52,0.558,29,23,11,19123,11570,7553,59,32,48,167,0.353,367.75,1.14,0.62,0.92,3.21
Challenger,RSC007001,tankersrul,Free Agent,Free Agent,N/A,N/A,85.17,7,0.571,4,3,2,2776,1680,1096,6,7,10,23,0.261,396.57,0.86,1.00,1.43,3.29
Challenger,RSC007243,thapriceiswrong,Free Agent,Free Agent,N/A,N/A,48.96,5,0.600,3,2,1,1617,800,817,4,1,4,15,0.267,323.40,0.80,0.20,0.80,3.00
Challenger,RSC006430,xxDaddysHerexx,Free Agent,Free Agent,N/A,N/A,45.12,4,0.250,1,3,0,1324,730,594,1,4,7,8,0.125,331.00,0.25,1.00,1.75,2.00
Challenger,RSC007229,yourboiblue,Free Agent,Free Agent,N/A,N/A,23.99,4,0.250,1,3,0,1075,570,505,3,1,3,7,0.429,268.75,0.75,0.25,0.75,1.75
Challenger,RSC005335,R4p,Gluons,The Quantum State,Solar,N/A,26.16,40,0.300,12,28,3,11168,6040,5128,21,13,51,74,0.284,279.18,0.53,0.33,1.28,1.85
Challenger,RSC006217,Subj3ct_Teonligas,Gluons,The Quantum State,Solar,N/A,37.98,29,0.345,10,19,4,8741,4730,4011,19,13,31,63,0.302,301.41,0.66,0.45,1.07,2.17
Challenger,RSC003848,TheAirGerbil,Gluons,The Quantum State,Solar,N/A,27.4,31,0.258,8,23,3,9151,4500,4651,15,11,37,60,0.250,295.19,0.48,0.36,1.19,1.94
Challenger,RSC006401,s. ^-^,Gluons,The Quantum State,Solar,N/A,24.75,52,0.250,13,39,3,15837,7980,7857,22,17,83,78,0.282,304.54,0.42,0.33,1.60,1.50
Challenger,RSC006187,1999 Toyota Camry,Havarti Hustlers,Cheese Guild,Solar,N/A,41.35,43,0.442,19,24,5,12686,7230,5456,24,22,53,108,0.222,295.02,0.56,0.51,1.23,2.51
Challenger,RSC005430,Schmeemeet,Havarti Hustlers,Cheese Guild,Solar,N/A,46.29,46,0.391,18,28,7,15076,8440,6636,38,13,57,114,0.333,327.72,0.83,0.28,1.24,2.48
Challenger,RSC006928,Thunderbolt,Havarti Hustlers,Cheese Guild,Solar,N/A,50.16,51,0.373,19,32,7,17673,9490,8183,38,24,66,119,0.319,346.51,0.75,0.47,1.29,2.33
Challenger,RSC003743,n00bpr0n,Havarti Hustlers,Cheese Guild,Solar,N/A,9.47,13,0.077,1,12,0,3405,1610,1795,5,2,16,21,0.238,261.92,0.39,0.15,1.23,1.62
Challenger,RSC006604,K.,Heavy Metal,The Pit,Lunar,N/A,51.67,19,0.474,9,10,2,6176,3300,2876,11,17,19,40,0.275,325.05,0.58,0.90,1.00,2.11
Challenger,RSC006604,K.,Heavy Metal,The Pit,Lunar,N/A,66.42,19,1.263,24,15,8,6176,8570,-2394,34,20,65,92,0.370,325.05,0.58,0.90,1.00,2.11
Challenger,RSC006199,Irozuh-,Hydras,The Forest,Solar,N/A,53.64,33,0.394,13,20,5,11549,6180,5369,25,19,39,78,0.321,349.94,0.76,0.58,1.18,2.36
Challenger,RSC006199,Irozuh-,Hydras,The Forest,Solar,N/A,46.28,33,0.000,0,4,0,11549,450,11099,2,1,3,5,0.400,349.94,0.76,0.58,1.18,2.36
Challenger,RSC006416,StaRazor,Hydras,The Forest,Solar,N/A,37.31,23,0.478,11,12,1,6599,3560,3039,14,7,24,61,0.230,286.87,0.61,0.30,1.04,2.65
Challenger,RSC002841,dyl,Hydras,The Forest,Solar,N/A,56.8,57,0.474,27,30,9,20216,11370,8846,45,30,80,137,0.328,354.65,0.79,0.53,1.40,2.40
Challenger,RSC004279,onlyjammer,Hydras,The Forest,Solar,N/A,42.5,46,0.435,20,26,4,13789,7920,5869,31,23,52,107,0.290,299.76,0.67,0.50,1.13,2.33
Challenger,RSC005648,ChadGPT,Jackhammers,Road Work Ahead,Solar,N/A,46.18,51,0.314,16,35,3,16965,9850,7115,33,29,81,105,0.314,332.63,0.65,0.57,1.59,2.06
Challenger,RSC005428,Zachs Vibes,Jackhammers,Road Work Ahead,Solar,N/A,42.04,34,0.353,12,22,3,10644,5760,4884,28,9,33,86,0.326,313.03,0.82,0.27,0.97,2.53
Challenger,RSC006659,Zalama,Jackhammers,Road Work Ahead,Solar,N/A,39.9,54,0.370,20,34,5,16873,9210,7663,36,20,68,121,0.298,312.46,0.67,0.37,1.26,2.24
Challenger,RSC007035,itzsmurfyy,Jackhammers,Road Work Ahead,Solar,N/A,93.72,37,0.486,18,19,11,16282,9810,6472,45,25,55,131,0.344,440.05,1.22,0.68,1.49,3.54
Challenger,RSC006379,1_Krispy_1,Jock O Lanterns,Ghoul School,Solar,N/A,88.79,56,0.625,35,21,20,23249,14450,8799,69,35,80,180,0.383,415.16,1.23,0.63,1.43,3.21
Challenger,RSC006346,Citrus Stoned,Jock O Lanterns,Ghoul School,Solar,N/A,43.43,60,0.633,38,22,6,17469,9890,7579,35,36,66,129,0.271,291.15,0.58,0.60,1.10,2.15
Challenger,RSC004303,Shogun,Jock O Lanterns,Ghoul School,Solar,N/A,39.97,9,0.667,6,3,0,2496,1480,1016,5,5,11,18,0.278,277.33,0.56,0.56,1.22,2.00
Challenger,RSC007293,YtExplixiit,Jock O Lanterns,Ghoul School,Solar,N/A,82.01,55,0.636,35,20,12,21835,12780,9055,57,39,68,173,0.329,397.00,1.04,0.71,1.24,3.15
Challenger,RSC006355,Heartlesswins,Lilac,Flower Road,Lunar,N/A,82.82,44,0.750,33,11,7,16182,10510,5672,55,30,43,136,0.404,367.77,1.25,0.68,0.98,3.09
Challenger,RSC006128,anth0,Lilac,Flower Road,Lunar,N/A,97.72,60,0.717,43,17,26,26382,16600,9782,86,35,87,190,0.453,439.70,1.43,0.58,1.45,3.17
Challenger,RSC004885,slowlow24,Lilac,Flower Road,Lunar,N/A,61.77,16,0.625,10,6,2,5121,3370,1751,15,10,19,42,0.357,320.06,0.94,0.63,1.19,2.63
Challenger,RSC005455,Covi,Lions,Safari,Solar,N/A,99.32,58,0.603,35,23,22,25706,16400,9306,87,30,83,205,0.424,443.19,1.50,0.52,1.43,3.53
Challenger,RSC007329,JDM.vibe,Lions,Safari,Solar,N/A,71.01,50,0.540,27,23,7,19125,11060,8065,46,33,69,136,0.338,382.50,0.92,0.66,1.38,2.72
Challenger,RSC005859,LedTasso,Lions,Safari,Solar,N/A,40.63,21,0.667,14,7,2,5942,3300,2642,12,13,21,40,0.300,282.95,0.57,0.62,1.00,1.91
Challenger,RSC005521,Sohl,Lions,Safari,Solar,N/A,52.86,45,0.622,28,17,4,14626,8250,6376,32,28,53,100,0.320,325.02,0.71,0.62,1.18,2.22
Challenger,RSC006583,DaScrappyDoo,Melodic Power,The Pit,Lunar,N/A,75.02,49,0.653,32,17,15,18276,11260,7016,52,30,63,141,0.369,372.96,1.06,0.61,1.29,2.88
Challenger,RSC000812,LustLizard,Melodic Power,The Pit,Lunar,N/A,23.56,35,0.314,11,24,3,8865,4710,4155,18,11,31,81,0.222,253.26,0.51,0.31,0.89,2.31
Challenger,RSC007175,dobsie,Melodic Power,The Pit,Lunar,N/A,78.92,34,0.676,23,11,8,12661,7610,5051,37,24,33,106,0.349,372.38,1.09,0.71,0.97,3.12
Challenger,RSC006372,x ARC Fives x,Melodic Power,The Pit,Lunar,N/A,74.75,52,0.673,35,17,11,19068,11300,7768,56,29,52,165,0.339,366.69,1.08,0.56,1.00,3.17
Challenger,RSC003424,Fryder,Metal,The Elements,Solar,N/A,65.21,43,0.581,25,18,7,15779,9180,6599,38,23,62,113,0.336,366.95,0.88,0.54,1.44,2.63
